date,time,close,open,high,low,volume,acml_tr_pbmn,datetime
20251001,132100,85900,85800,85900,85800,12128,1272473772600,2025-10-01 13:21:00
20251001,132200,85900,85900,85900,85800,24941,1274615965200,2025-10-01 13:22:00
20251001,132300,85900,85900,85900,85800,13220,1275751028050,2025-10-01 13:23:00
20251001,132400,85900,85900,85900,85800,10760,1276675032850,2025-10-01 13:24:00
20251001,132500,85800,85900,85900,85800,10078,1277540420800,2025-10-01 13:25:00
20251001,132600,85900,85800,85900,85800,14391,1278776094100,2025-10-01 13:26:00
20251001,132700,85900,85800,85900,85800,17012,1280237002950,2025-10-01 13:27:00
20251001,132800,85900,85900,85900,85850,11426,1281218336200,2025-10-01 13:28:00
20251001,132900,85850,85900,85900,85850,17951,1282760052300,2025-10-01 13:29:00
20251001,133000,85900,85850,85900,85800,12872,1283865342750,2025-10-01 13:30:00
20251001,133100,85900,85900,85900,85800,14951,1285149159350,2025-10-01 13:31:00
20251001,133200,85900,85900,85900,85800,13472,1286306022100,2025-10-01 13:32:00
20251001,133300,85900,85800,85900,85800,16796,1287748045750,2025-10-01 13:33:00
20251001,133400,85900,85800,85900,85800,11341,1288721916500,2025-10-01 13:34:00
20251001,133500,85800,85900,85900,85800,9206,1289512602500,2025-10-01 13:35:00
20251001,133600,85900,85900,85900,85800,22419,1291437270850,2025-10-01 13:36:00
20251001,133700,85800,85800,85900,85800,22863,1293399547700,2025-10-01 13:37:00
20251001,133800,85800,85850,85850,85800,15562,1294735337200,2025-10-01 13:38:00
20251001,133900,85800,85800,85850,85800,21767,1296603407300,2025-10-01 13:39:00
20251001,134000,86000,85850,86000,85800,307717,1323033934000,2025-10-01 13:40:00
20251001,134100,85900,86000,86000,85900,122622,1333569662400,2025-10-01 13:41:00
20251001,134200,86000,85950,86000,85900,44973,1337433197050,2025-10-01 13:42:00
20251001,134300,85950,85900,86000,85900,21029,1339240364400,2025-10-01 13:43:00
20251001,134400,85950,85950,86000,85900,24815,1341372277800,2025-10-01 13:44:00
20251001,134500,85900,85950,86000,85900,44847,1345224830050,2025-10-01 13:45:00
20251001,134600,85900,85900,86000,85900,17059,1346690795550,2025-10-01 13:46:00
20251001,134700,85900,85950,86000,85900,27662,1349067547000,2025-10-01 13:47:00
20251001,134800,85900,85900,86000,85900,46631,1353075623800,2025-10-01 13:48:00
20251001,134900,85900,85950,85950,85900,20432,1354831061900,2025-10-01 13:49:00
20251001,135000,86000,85900,86000,85900,22591,1356772769700,2025-10-01 13:50:00
20251001,135100,86000,85900,86000,85900,43812,1360540011800,2025-10-01 13:51:00
20251001,135200,86000,86000,86000,85900,14948,1361824829500,2025-10-01 13:52:00
20251001,135300,85900,85900,86000,85900,21859,1363703240200,2025-10-01 13:53:00
20251001,135400,86000,86000,86000,85900,16564,1365126987550,2025-10-01 13:54:00
20251001,135500,86000,86000,86100,85900,797136,1433680591250,2025-10-01 13:55:00
20251001,135600,86000,86000,86000,85900,66488,1439398461700,2025-10-01 13:56:00
20251001,135700,86000,85950,86000,85900,17851,1440933540300,2025-10-01 13:57:00
20251001,135800,86000,85900,86000,85900,9470,1441747874750,2025-10-01 13:58:00
20251001,135900,86000,86000,86000,85900,10781,1442674993650,2025-10-01 13:59:00
20251001,140000,86000,85950,86000,85900,14282,1443902851650,2025-10-01 14:00:00
20251001,140100,86100,85950,86100,85950,170654,1458579502750,2025-10-01 14:01:00
20251001,140200,86000,86100,86100,86000,17686,1460101988200,2025-10-01 14:02:00
20251001,140300,86000,86100,86100,86000,8961,1460873372050,2025-10-01 14:03:00
20251001,140400,86000,86100,86100,86000,39007,1464231537000,2025-10-01 14:04:00
20251001,140500,86100,86000,86100,86000,29476,1466767493700,2025-10-01 14:05:00
20251001,140600,86050,86000,86100,86000,17843,1468303256750,2025-10-01 14:06:00
20251001,140700,86000,86000,86100,86000,14089,1469516209500,2025-10-01 14:07:00
20251001,140800,86100,86100,86100,86000,35044,1472531474350,2025-10-01 14:08:00
20251001,140900,86100,86100,86100,86000,20043,1474256456950,2025-10-01 14:09:00
20251001,141000,86000,86100,86100,86000,25573,1476456645800,2025-10-01 14:10:00
20251001,141100,86050,86100,86100,86000,13548,1477622535350,2025-10-01 14:11:00
20251001,141200,86000,86050,86100,86000,39924,1481056756300,2025-10-01 14:12:00
20251001,141300,86100,86050,86100,86000,43070,1484761949250,2025-10-01 14:13:00
20251001,141400,86000,86100,86100,85900,136734,1496520200750,2025-10-01 14:14:00
20251001,141500,86000,86000,86000,85950,19902,1498231460000,2025-10-01 14:15:00
20251001,141600,86000,85950,86000,85900,20143,1499963308900,2025-10-01 14:16:00
20251001,141700,86000,86000,86000,85900,18564,1501559314300,2025-10-01 14:17:00
20251001,141800,85950,85950,86000,85900,12157,1502604645800,2025-10-01 14:18:00
20251001,141900,86000,85950,86000,85900,15911,1503972350800,2025-10-01 14:19:00
20251001,142000,86000,86000,86000,85900,12116,1505014224050,2025-10-01 14:20:00
20251001,142100,85950,86000,86000,85900,21982,1506904087850,2025-10-01 14:21:00
20251001,142200,85900,86000,86000,85900,19763,1508603125450,2025-10-01 14:22:00
20251001,142300,86000,85900,86000,85900,37067,1511790040750,2025-10-01 14:23:00
20251001,142400,86000,86000,86000,85900,25317,1513967023900,2025-10-01 14:24:00
20251001,142500,85950,86000,86000,85900,18274,1515538279200,2025-10-01 14:25:00
20251001,142600,86000,85950,86000,85900,20205,1517275427850,2025-10-01 14:26:00
20251001,142700,85900,86000,86000,85900,69661,1523260820000,2025-10-01 14:27:00
20251001,142800,85900,86000,86000,85900,16493,1524678600400,2025-10-01 14:28:00
20251001,142900,85900,86000,86000,85900,16638,1526108313750,2025-10-01 14:29:00
20251001,143000,85900,85900,85950,85800,98084,1534533664550,2025-10-01 14:30:00
20251001,143100,85900,85900,85900,85800,10769,1535458262700,2025-10-01 14:31:00
20251001,143200,85850,85850,85900,85800,10554,1536364205150,2025-10-01 14:32:00
20251001,143300,85850,85850,85900,85800,14309,1537592453750,2025-10-01 14:33:00
20251001,143400,85850,85850,85900,85800,14566,1538843226550,2025-10-01 14:34:00
20251001,143500,85900,85900,86000,85800,130655,1550066331650,2025-10-01 14:35:00
20251001,143600,86000,85950,86000,85900,17462,1551567042900,2025-10-01 14:36:00
20251001,143700,85900,86000,86000,85900,29985,1554143393600,2025-10-01 14:37:00
20251001,143800,85900,85950,86000,85900,15361,1555463576550,2025-10-01 14:38:00
20251001,143900,85900,85900,86000,85900,14897,1556743452750,2025-10-01 14:39:00
20251001,144000,85900,85950,86000,85900,19696,1558435849000,2025-10-01 14:40:00
20251001,144100,85950,86000,86000,85900,14787,1559707067550,2025-10-01 14:41:00
20251001,144200,85950,85950,86000,85900,26810,1562010608150,2025-10-01 14:42:00
20251001,144300,85900,85950,86000,85900,38209,1565293341750,2025-10-01 14:43:00
20251001,144400,85900,85950,86000,85900,18203,1566857981300,2025-10-01 14:44:00
20251001,144500,85900,85900,86000,85900,16420,1568269392100,2025-10-01 14:45:00
20251001,144600,85950,85900,86000,85900,98264,1576710867300,2025-10-01 14:46:00
20251001,144700,85950,85950,86000,85900,47454,1580787607550,2025-10-01 14:47:00
20251001,144800,85900,85950,86000,85900,36802,1583949560200,2025-10-01 14:48:00
20251001,144900,85950,85950,85950,85900,17727,1585472711450,2025-10-01 14:49:00
20251001,145000,85950,85900,85950,85900,29372,1587996440550,2025-10-01 14:50:00
20251001,145100,85950,85950,86000,85900,30521,1590619077900,2025-10-01 14:51:00
20251001,145200,85950,85950,85950,85900,24149,1592694039900,2025-10-01 14:52:00
20251001,145300,85900,85900,86000,85900,24200,1594773674100,2025-10-01 14:53:00
20251001,145400,85950,85900,85950,85900,25352,1596951956650,2025-10-01 14:54:00
20251001,145500,85900,85950,85950,85900,32729,1599764091350,2025-10-01 14:55:00
20251001,145600,85900,85900,85950,85900,39985,1603199572400,2025-10-01 14:56:00
20251001,145700,85950,85900,86000,85900,35238,1606227240250,2025-10-01 14:57:00
20251001,145800,85800,85950,85950,85800,63915,1611717219950,2025-10-01 14:58:00
20251001,145900,85900,85850,85900,85800,21748,1613584122050,2025-10-01 14:59:00
20251001,150000,85900,85900,85900,85800,53194,1618151616000,2025-10-01 15:00:00
20251001,150100,85900,85800,85900,85800,15532,1619485349950,2025-10-01 15:01:00
20251001,150200,85900,85800,86000,85800,111934,1629101928350,2025-10-01 15:02:00
20251001,150300,85900,86000,86000,85900,31127,1631776670350,2025-10-01 15:03:00
20251001,150400,85900,85900,86000,85900,24066,1633844593850,2025-10-01 15:04:00
20251001,150500,85900,85900,86000,85900,18929,1635471970100,2025-10-01 15:05:00
20251001,150600,86000,85900,86000,85900,19746,1637169640050,2025-10-01 15:06:00
20251001,150700,86000,86000,86000,85900,28271,1639600438100,2025-10-01 15:07:00
20251001,150800,86000,86000,86000,85900,37853,1642855198800,2025-10-01 15:08:00
20251001,150900,86000,85900,86000,85900,34258,1645800615750,2025-10-01 15:09:00
20251001,151000,86000,85900,86100,85900,374870,1678042943350,2025-10-01 15:10:00
20251001,151100,86050,86000,86100,86000,45925,1681996734900,2025-10-01 15:11:00
20251001,151200,86050,86050,86100,86000,75314,1688480716350,2025-10-01 15:12:00
20251001,151300,86050,86050,86100,86000,71745,1694657556350,2025-10-01 15:13:00
