date,time,close,open,high,low,volume,acml_tr_pbmn,datetime
20250923,130800,4575,4575,4575,4575,15,793346087,2025-09-23 13:08:00
20250923,130900,4565,4565,4565,4565,3,793359782,2025-09-23 13:09:00
20250923,131000,4570,4565,4570,4565,248,794491907,2025-09-23 13:10:00
20250923,131200,4565,4565,4565,4565,2,794501037,2025-09-23 13:12:00
20250923,131300,4570,4575,4575,4570,140,795140842,2025-09-23 13:13:00
20250923,131400,4565,4565,4565,4565,56,795396482,2025-09-23 13:14:00
20250923,131600,4565,4565,4565,4565,3,795410177,2025-09-23 13:16:00
20250923,131700,4565,4565,4565,4565,50,795638427,2025-09-23 13:17:00
20250923,131800,4565,4565,4565,4565,46,795848417,2025-09-23 13:18:00
20250923,131900,4565,4565,4565,4565,2,795857547,2025-09-23 13:19:00
20250923,132100,4565,4565,4565,4565,2,795866677,2025-09-23 13:21:00
20250923,132200,4570,4570,4570,4570,1,795871247,2025-09-23 13:22:00
20250923,132300,4565,4565,4565,4565,61,796149712,2025-09-23 13:23:00
20250923,132400,4570,4565,4570,4565,21,796245582,2025-09-23 13:24:00
20250923,132500,4570,4570,4570,4570,42,796437522,2025-09-23 13:25:00
20250923,132600,4565,4565,4565,4565,6,796464912,2025-09-23 13:26:00
20250923,132700,4565,4565,4565,4565,5,796487737,2025-09-23 13:27:00
20250923,132800,4565,4565,4565,4565,2,796496867,2025-09-23 13:28:00
20250923,132900,4565,4565,4565,4560,1187,801915262,2025-09-23 13:29:00
20250923,133000,4560,4565,4565,4560,16,801988287,2025-09-23 13:30:00
20250923,133100,4560,4565,4565,4560,207,802932632,2025-09-23 13:31:00
20250923,133200,4560,4560,4560,4560,104,803406872,2025-09-23 13:32:00
20250923,133300,4560,4560,4560,4560,23,803511752,2025-09-23 13:33:00
20250923,133400,4565,4565,4565,4560,40,803694217,2025-09-23 13:34:00
20250923,133500,4565,4560,4565,4560,463,805807687,2025-09-23 13:35:00
20250923,133700,4560,4560,4560,4560,2,805816807,2025-09-23 13:37:00
20250923,133800,4560,4560,4560,4560,4,805835047,2025-09-23 13:38:00
20250923,133900,4560,4560,4560,4555,2470,817096977,2025-09-23 13:39:00
20250923,134000,4550,4555,4555,4550,7354,850575162,2025-09-23 13:40:00
20250923,134100,4550,4550,4550,4550,1,850579712,2025-09-23 13:41:00
20250923,134200,4550,4550,4550,4550,6,850607012,2025-09-23 13:42:00
20250923,134300,4550,4555,4555,4550,2,850616117,2025-09-23 13:43:00
20250923,134400,4550,4550,4550,4550,3595,866973367,2025-09-23 13:44:00
20250923,134500,4555,4550,4555,4550,108,867464867,2025-09-23 13:45:00
20250923,134600,4550,4555,4555,4550,108,867956767,2025-09-23 13:46:00
20250923,134700,4555,4555,4555,4550,59,868225507,2025-09-23 13:47:00
20250923,134800,4550,4555,4555,4550,11,868275582,2025-09-23 13:48:00
20250923,134900,4545,4555,4555,4545,2066,877674772,2025-09-23 13:49:00
20250923,135000,4550,4545,4550,4545,7335,911012462,2025-09-23 13:50:00
20250923,135100,4550,4545,4550,4545,5,911035197,2025-09-23 13:51:00
20250923,135200,4550,4545,4550,4545,1670,918625397,2025-09-23 13:52:00
20250923,135300,4550,4550,4550,4545,3577,934900227,2025-09-23 13:53:00
20250923,135400,4550,4550,4550,4550,386,936656527,2025-09-23 13:54:00
20250923,135500,4550,4550,4550,4550,1121,941757077,2025-09-23 13:55:00
20250923,135600,4550,4550,4555,4550,3319,956859132,2025-09-23 13:56:00
20250923,135700,4550,4550,4550,4550,27,956981982,2025-09-23 13:57:00
20250923,135800,4555,4550,4555,4550,102,957446582,2025-09-23 13:58:00
20250923,135900,4550,4555,4555,4550,11,957496682,2025-09-23 13:59:00
20250923,140000,4550,4550,4555,4550,23,957601427,2025-09-23 14:00:00
20250923,140100,4555,4550,4555,4550,306,958993797,2025-09-23 14:01:00
20250923,140200,4550,4550,4550,4545,701,962183312,2025-09-23 14:02:00
20250923,140400,4545,4545,4545,4545,6,962210582,2025-09-23 14:04:00
20250923,140500,4550,4550,4550,4550,25,962324332,2025-09-23 14:05:00
20250923,140600,4555,4550,4555,4550,693,965477487,2025-09-23 14:06:00
20250923,140700,4555,4550,4555,4545,329,966975922,2025-09-23 14:07:00
20250923,140800,4555,4555,4555,4555,134,967586292,2025-09-23 14:08:00
20250923,140900,4545,4555,4555,4545,64,967877772,2025-09-23 14:09:00
20250923,141000,4545,4545,4545,4545,2000,976967772,2025-09-23 14:10:00
20250923,141100,4545,4545,4550,4545,78,977322657,2025-09-23 14:11:00
20250923,141200,4545,4545,4545,4545,3,977336292,2025-09-23 14:12:00
20250923,141300,4550,4550,4550,4550,24,977445492,2025-09-23 14:13:00
20250923,141400,4550,4545,4550,4545,6,977472767,2025-09-23 14:14:00
20250923,141500,4550,4550,4550,4550,388,979238167,2025-09-23 14:15:00
20250923,141600,4550,4545,4550,4545,12,979292737,2025-09-23 14:16:00
20250923,141700,4545,4550,4550,4545,77,979642837,2025-09-23 14:17:00
20250923,141800,4545,4545,4550,4545,10,979688312,2025-09-23 14:18:00
20250923,141900,4550,4550,4550,4550,5,979711062,2025-09-23 14:19:00
20250923,142000,4545,4545,4545,4545,3,979724697,2025-09-23 14:20:00
20250923,142100,4545,4545,4550,4545,8,979761082,2025-09-23 14:21:00
20250923,142200,4550,4545,4550,4545,495,982013317,2025-09-23 14:22:00
20250923,142300,4555,4545,4555,4545,87,982409177,2025-09-23 14:23:00
20250923,142400,4550,4550,4550,4550,257,983578527,2025-09-23 14:24:00
20250923,142500,4550,4550,4550,4550,2,983587627,2025-09-23 14:25:00
20250923,142700,4545,4555,4555,4545,160,984315762,2025-09-23 14:27:00
20250923,142800,4550,4550,4550,4550,300,985680762,2025-09-23 14:28:00
20250923,142900,4550,4550,4550,4550,378,987400662,2025-09-23 14:29:00
20250923,143000,4550,4550,4550,4545,962,991777747,2025-09-23 14:30:00
20250923,143100,4550,4550,4550,4550,1,991782297,2025-09-23 14:31:00
20250923,143200,4545,4550,4550,4545,172,992564887,2025-09-23 14:32:00
20250923,143300,4550,4550,4550,4550,20,992655887,2025-09-23 14:33:00
20250923,143400,4550,4550,4550,4545,152,993347477,2025-09-23 14:34:00
20250923,143600,4550,4550,4550,4550,3,993361127,2025-09-23 14:36:00
20250923,143700,4545,4545,4545,4545,2,993370217,2025-09-23 14:37:00
20250923,143800,4550,4550,4550,4545,3230,1008051717,2025-09-23 14:38:00
20250923,143900,4545,4545,4545,4545,3,1008065352,2025-09-23 14:39:00
20250923,144100,4550,4547,4550,4545,102,1008529439,2025-09-23 14:41:00
20250923,144300,4545,4545,4545,4545,4,1008547619,2025-09-23 14:43:00
20250923,144500,4550,4550,4550,4550,2,1008556719,2025-09-23 14:45:00
20250923,144600,4545,4545,4545,4545,1293,1014433404,2025-09-23 14:46:00
20250923,144700,4550,4550,4550,4550,3,1014447054,2025-09-23 14:47:00
20250923,144800,4540,4545,4545,4540,73,1014778579,2025-09-23 14:48:00
20250923,144900,4545,4540,4545,4540,281,1016055569,2025-09-23 14:49:00
20250923,145000,4540,4545,4545,4540,159,1016778209,2025-09-23 14:50:00
20250923,145100,4545,4545,4545,4545,239,1017864464,2025-09-23 14:51:00
20250923,145200,4550,4545,4550,4545,413,1019741564,2025-09-23 14:52:00
20250923,145300,4550,4540,4550,4540,552,1022252894,2025-09-23 14:53:00
20250923,145400,4555,4550,4555,4550,121,1022803739,2025-09-23 14:54:00
20250923,145500,4545,4550,4550,4545,95,1023235979,2025-09-23 14:55:00
20250923,145600,4555,4550,4555,4550,113,1023750689,2025-09-23 14:56:00
20250923,145700,4550,4550,4550,4550,2,1023759789,2025-09-23 14:57:00
20250923,145800,4550,4550,4550,4550,100,1024214789,2025-09-23 14:58:00
20250923,145900,4550,4550,4550,4550,468,1026344189,2025-09-23 14:59:00
20250923,150000,4545,4545,4550,4545,2409,1037293124,2025-09-23 15:00:00
20250923,150100,4550,4550,4550,4550,293,1038626274,2025-09-23 15:01:00
20250923,150200,4550,4550,4550,4550,151,1039313324,2025-09-23 15:02:00
20250923,150300,4550,4550,4555,4550,2915,1052581299,2025-09-23 15:03:00
20250923,150400,4550,4550,4550,4550,247,1053705149,2025-09-23 15:04:00
20250923,150500,4550,4550,4550,4550,1,1053709699,2025-09-23 15:05:00
20250923,150600,4550,4550,4550,4550,7,1053741549,2025-09-23 15:06:00
20250923,150700,4545,4550,4550,4545,631,1056610159,2025-09-23 15:07:00
20250923,150800,4550,4545,4550,4545,176,1057410094,2025-09-23 15:08:00
20250923,150900,4550,4550,4550,4550,117,1057942444,2025-09-23 15:09:00
20250923,151000,4550,4550,4550,4545,197,1058838094,2025-09-23 15:10:00
20250923,151100,4545,4545,4545,4540,6378,1087794949,2025-09-23 15:11:00
20250923,151200,4550,4545,4550,4545,524,1090177779,2025-09-23 15:12:00
20250923,151500,4550,4550,4550,4545,613,1092965169,2025-09-23 15:15:00
20250923,151600,4550,4550,4550,4550,75,1093306419,2025-09-23 15:16:00
20250923,151700,4550,4550,4550,4545,387,1095065549,2025-09-23 15:17:00
20250923,151900,4545,4545,4550,4545,395,1096861629,2025-09-23 15:19:00
20250923,153000,4565,4565,4565,4565,7587,1131496284,2025-09-23 15:30:00
20250924,132100,4505,4505,4505,4505,6,490065419,2025-09-24 13:21:00
20250924,132200,4505,4505,4505,4505,6,490092449,2025-09-24 13:22:00
20250924,132300,4505,4505,4505,4505,4,490110469,2025-09-24 13:23:00
20250924,132400,4505,4505,4505,4505,271,491331324,2025-09-24 13:24:00
20250924,132500,4500,4505,4505,4500,291,492641974,2025-09-24 13:25:00
20250924,132600,4505,4505,4505,4500,1196,498029924,2025-09-24 13:26:00
20250924,132700,4500,4500,4500,4500,6,498056924,2025-09-24 13:27:00
20250924,132800,4500,4505,4505,4500,557,500566164,2025-09-24 13:28:00
20250924,132900,4500,4500,4500,4500,8,500602164,2025-09-24 13:29:00
20250924,133000,4500,4510,4510,4500,142,501242544,2025-09-24 13:30:00
20250924,133100,4500,4500,4500,4500,6,501269544,2025-09-24 13:31:00
20250924,133200,4505,4505,4505,4505,26,501386674,2025-09-24 13:32:00
20250924,133300,4505,4505,4505,4505,6,501413704,2025-09-24 13:33:00
20250924,133400,4505,4505,4505,4505,5,501436229,2025-09-24 13:34:00
20250924,133500,4505,4505,4505,4505,9,501476774,2025-09-24 13:35:00
20250924,133600,4510,4505,4510,4505,8,501512824,2025-09-24 13:36:00
20250924,133700,4505,4510,4510,4505,18,501593924,2025-09-24 13:37:00
20250924,133800,4505,4505,4505,4505,12,501647984,2025-09-24 13:38:00
20250924,133900,4505,4505,4505,4505,1218,507135074,2025-09-24 13:39:00
20250924,134000,4505,4505,4505,4500,850,510964294,2025-09-24 13:40:00
20250924,134100,4500,4505,4505,4500,10,511009299,2025-09-24 13:41:00
20250924,134200,4500,4500,4500,4500,18,511090299,2025-09-24 13:42:00
20250924,134300,4500,4500,4500,4500,9,511130799,2025-09-24 13:43:00
20250924,134400,4505,4505,4505,4500,70,511446079,2025-09-24 13:44:00
20250924,134500,4500,4505,4505,4500,11,511495584,2025-09-24 13:45:00
20250924,134600,4505,4500,4505,4500,21,511590104,2025-09-24 13:46:00
20250924,134700,4505,4505,4505,4505,112,512094664,2025-09-24 13:47:00
20250924,134800,4505,4505,4505,4505,2479,523262559,2025-09-24 13:48:00
20250924,134900,4500,4500,4505,4500,260,524433769,2025-09-24 13:49:00
20250924,135000,4505,4500,4505,4500,10,524478774,2025-09-24 13:50:00
20250924,135100,4500,4505,4505,4500,17,524555284,2025-09-24 13:51:00
20250924,135200,4500,4500,4500,4500,2564,536093284,2025-09-24 13:52:00
20250924,135300,4500,4500,4500,4500,73,536421784,2025-09-24 13:53:00
20250924,135400,4500,4500,4505,4500,5332,560437659,2025-09-24 13:54:00
20250924,135500,4500,4500,4505,4500,1023,565043159,2025-09-24 13:55:00
20250924,135600,4500,4500,4505,4500,12,565097164,2025-09-24 13:56:00
20250924,135700,4500,4500,4505,4500,94,565520464,2025-09-24 13:57:00
20250924,135800,4500,4500,4505,4500,96,565952869,2025-09-24 13:58:00
20250924,135900,4500,4505,4505,4495,5028,588578859,2025-09-24 13:59:00
20250924,140000,4495,4495,4500,4495,2624,600386144,2025-09-24 14:00:00
20250924,140100,4495,4495,4500,4495,518,602715554,2025-09-24 14:01:00
20250924,140200,4500,4495,4500,4495,729,605993804,2025-09-24 14:02:00
20250924,140300,4495,4495,4500,4495,243,607086339,2025-09-24 14:03:00
20250924,140400,4495,4495,4500,4495,457,609141589,2025-09-24 14:04:00
20250924,140500,4495,4495,4500,4495,616,611911514,2025-09-24 14:05:00
20250924,140600,4495,4495,4500,4495,500,614159244,2025-09-24 14:06:00
20250924,140700,4495,4500,4500,4495,453,616195789,2025-09-24 14:07:00
20250924,140800,4495,4500,4500,4495,636,619056434,2025-09-24 14:08:00
20250924,140900,4495,4495,4500,4495,459,621119789,2025-09-24 14:09:00
20250924,141000,4495,4495,4495,4495,408,622953749,2025-09-24 14:10:00
20250924,141100,4500,4500,4500,4495,1002,627460599,2025-09-24 14:11:00
20250924,141200,4495,4500,4500,4495,1716,635181014,2025-09-24 14:12:00
20250924,141300,4495,4495,4495,4495,384,636907094,2025-09-24 14:13:00
20250924,141400,4495,4495,4500,4495,542,639344109,2025-09-24 14:14:00
20250924,141500,4495,4495,4500,4495,488,641537999,2025-09-24 14:15:00
20250924,141600,4495,4495,4495,4495,346,643093269,2025-09-24 14:16:00
20250924,141700,4495,4495,4495,4495,485,645273344,2025-09-24 14:17:00
20250924,141800,4495,4495,4495,4495,445,647273619,2025-09-24 14:18:00
20250924,141900,4495,4495,4495,4495,328,648747979,2025-09-24 14:19:00
20250924,142000,4495,4495,4495,4495,414,650608909,2025-09-24 14:20:00
20250924,142100,4495,4495,4500,4495,664,653593699,2025-09-24 14:21:00
20250924,142200,4495,4495,4495,4495,481,655755794,2025-09-24 14:22:00
20250924,142300,4495,4495,4500,4495,648,658669279,2025-09-24 14:23:00
20250924,142400,4495,4495,4495,4495,322,660116669,2025-09-24 14:24:00
20250924,142500,4495,4495,4495,4495,511,662413614,2025-09-24 14:25:00
20250924,142600,4495,4495,4495,4495,197,663299129,2025-09-24 14:26:00
20250924,142700,4495,4495,4495,4495,411,665146574,2025-09-24 14:27:00
20250924,142800,4495,4495,4495,4495,346,666701844,2025-09-24 14:28:00
20250924,142900,4495,4495,4500,4495,217,667677264,2025-09-24 14:29:00
20250924,143000,4495,4495,4495,4495,474,669807894,2025-09-24 14:30:00
20250924,143100,4495,4495,4495,4495,474,671938524,2025-09-24 14:31:00
20250924,143200,4500,4495,4500,4495,444,673934319,2025-09-24 14:32:00
20250924,143300,4495,4495,4495,4495,458,675993029,2025-09-24 14:33:00
20250924,143400,4495,4495,4500,4495,476,678132654,2025-09-24 14:34:00
20250924,143500,4495,4495,4500,4495,1927,686803029,2025-09-24 14:35:00
20250924,143600,4495,4495,4495,4495,448,688816789,2025-09-24 14:36:00
20250924,143700,4495,4495,4495,4495,311,690214734,2025-09-24 14:37:00
20250924,143800,4495,4495,4495,4495,382,691931824,2025-09-24 14:38:00
20250924,143900,4495,4495,4495,4495,1340,697955124,2025-09-24 14:39:00
20250924,144000,4495,4495,4495,4495,183,698777709,2025-09-24 14:40:00
20250924,144100,4500,4495,4500,4495,576,701366879,2025-09-24 14:41:00
20250924,144200,4500,4495,4500,4495,1695,708993744,2025-09-24 14:42:00
20250924,144300,4500,4500,4500,4500,17,709070244,2025-09-24 14:43:00
20250924,144400,4495,4500,4500,4495,611,711819204,2025-09-24 14:44:00
20250924,144500,4495,4495,4495,4495,582,714435294,2025-09-24 14:45:00
20250924,144600,4495,4495,4500,4495,534,716836329,2025-09-24 14:46:00
20250924,144700,4495,4495,4495,4495,425,718746704,2025-09-24 14:47:00
20250924,144800,4495,4495,4505,4495,448,720760544,2025-09-24 14:48:00
20250924,144900,4495,4495,4500,4495,503,723021629,2025-09-24 14:49:00
20250924,145000,4495,4495,4500,4495,432,724963944,2025-09-24 14:50:00
20250924,145100,4495,4495,4500,4495,437,726928959,2025-09-24 14:51:00
20250924,145200,4495,4495,4495,4495,436,728888779,2025-09-24 14:52:00
20250924,145300,4495,4495,4495,4495,366,730533949,2025-09-24 14:53:00
20250924,145400,4495,4495,4500,4495,521,732875849,2025-09-24 14:54:00
20250924,145500,4495,4495,4500,4495,487,735064924,2025-09-24 14:55:00
20250924,145600,4500,4495,4500,4495,474,737196199,2025-09-24 14:56:00
20250924,145700,4495,4495,4500,4495,486,739380924,2025-09-24 14:57:00
20250924,145800,4495,4495,4500,4495,608,742113894,2025-09-24 14:58:00
20250924,145900,4495,4495,4500,4495,429,744042654,2025-09-24 14:59:00
20250924,150000,4495,4500,4500,4495,1713,751747774,2025-09-24 15:00:00
20250924,150100,4495,4495,4500,4495,419,753631204,2025-09-24 15:01:00
20250924,150200,4495,4495,4495,4495,550,756103454,2025-09-24 15:02:00
20250924,150300,4495,4495,4495,4495,518,758431864,2025-09-24 15:03:00
20250924,150400,4495,4495,4500,4495,439,760405174,2025-09-24 15:04:00
20250924,150500,4495,4495,4495,4495,546,762859444,2025-09-24 15:05:00
20250924,150600,4495,4495,4495,4490,1167,768104139,2025-09-24 15:06:00
20250924,150700,4495,4495,4495,4495,452,770135879,2025-09-24 15:07:00
20250924,150800,4495,4495,4495,4495,688,773228439,2025-09-24 15:08:00
20250924,150900,4495,4495,4495,4495,502,775484929,2025-09-24 15:09:00
20250924,151000,4500,4495,4500,4495,742,778820224,2025-09-24 15:10:00
20250924,151100,4495,4495,4500,4495,756,782218449,2025-09-24 15:11:00
20250924,151200,4495,4495,4500,4495,865,786106639,2025-09-24 15:12:00
20250924,151300,4495,4495,4500,4495,806,789729614,2025-09-24 15:13:00
20250924,151400,4495,4495,4495,4495,1331,795712459,2025-09-24 15:14:00
20250924,151500,4495,4495,4500,4495,1091,800616614,2025-09-24 15:15:00
20250924,151600,4495,4495,4500,4495,1216,806082549,2025-09-24 15:16:00
20250924,151700,4495,4495,4500,4495,1316,811997989,2025-09-24 15:17:00
