date,time,close,open,high,low,volume,acml_tr_pbmn,datetime
20250923,132100,384000,384500,385000,384000,174,75042477750,2025-09-23 13:21:00
20250923,132200,384500,384000,384500,384000,94,75078605250,2025-09-23 13:22:00
20250923,132300,384500,384000,385000,384000,165,75142032250,2025-09-23 13:23:00
20250923,132400,384000,384500,385000,384000,118,75187396250,2025-09-23 13:24:00
20250923,132500,384000,384500,385000,383500,338,75317273750,2025-09-23 13:25:00
20250923,132600,384500,384000,384500,383500,133,75368366750,2025-09-23 13:26:00
20250923,132700,384000,384000,384000,383500,155,75427832750,2025-09-23 13:27:00
20250923,132800,383000,384000,384000,383000,179,75496509250,2025-09-23 13:28:00
20250923,132900,384000,384000,384500,383000,153,75555283750,2025-09-23 13:29:00
20250923,133000,385000,385000,385500,384000,271,75659612250,2025-09-23 13:30:00
20250923,133100,385000,385000,385500,384500,112,75702736750,2025-09-23 13:31:00
20250923,133200,385500,384500,385500,384000,413,75861762750,2025-09-23 13:32:00
20250923,133300,387000,385500,387000,385500,1409,76406494250,2025-09-23 13:33:00
20250923,133400,388000,386500,388000,386500,734,76690852250,2025-09-23 13:34:00
20250923,133500,389000,388000,389500,388000,1328,77207482250,2025-09-23 13:35:00
20250923,133600,388500,389500,390000,388500,1067,77622853750,2025-09-23 13:36:00
20250923,133700,388000,388500,389000,388000,362,77763523250,2025-09-23 13:37:00
20250923,133800,387500,388500,388500,387000,432,77931011750,2025-09-23 13:38:00
20250923,133900,386000,387000,387500,386000,882,78271983250,2025-09-23 13:39:00
20250923,134000,387000,386000,387500,386000,229,78360543750,2025-09-23 13:40:00
20250923,134100,386000,387000,387500,385500,317,78482986750,2025-09-23 13:41:00
20250923,134200,385500,386000,386500,385000,689,78748583250,2025-09-23 13:42:00
20250923,134300,386500,385500,386500,385000,290,78860496750,2025-09-23 13:43:00
20250923,134400,387000,386500,387500,385500,397,79013926750,2025-09-23 13:44:00
20250923,134500,387000,386500,387000,386000,314,79135281250,2025-09-23 13:45:00
20250923,134600,386500,387000,387000,386500,121,79182083000,2025-09-23 13:46:00
20250923,134700,386500,387000,387500,386500,428,79347758000,2025-09-23 13:47:00
20250923,134800,387000,387000,388000,387000,122,79395017500,2025-09-23 13:48:00
20250923,134900,387000,387500,388000,386500,354,79532115500,2025-09-23 13:49:00
20250923,135000,387500,387000,387500,386500,141,79586694500,2025-09-23 13:50:00
20250923,135100,387000,387500,388000,387000,363,79727328750,2025-09-23 13:51:00
20250923,135200,387000,387500,387500,386500,651,79979318750,2025-09-23 13:52:00
20250923,135300,387500,387000,388000,387000,197,80055644750,2025-09-23 13:53:00
20250923,135400,387000,387000,387500,387000,109,80097862750,2025-09-23 13:54:00
20250923,135500,386500,387000,387500,386500,288,80209341750,2025-09-23 13:55:00
20250923,135600,387500,386500,387500,386500,238,80301467750,2025-09-23 13:56:00
20250923,135700,387000,387000,387500,386500,261,80402494750,2025-09-23 13:57:00
20250923,135800,387000,387500,387500,387000,122,80449739750,2025-09-23 13:58:00
20250923,135900,388500,387500,390000,387000,3877,81958707250,2025-09-23 13:59:00
20250923,140000,388000,388500,389500,388000,479,82144807250,2025-09-23 14:00:00
20250923,140100,388500,388000,389000,388000,126,82193784750,2025-09-23 14:01:00
20250923,140200,389000,388500,389500,388000,395,82347304750,2025-09-23 14:02:00
20250923,140300,388000,389000,389000,387500,199,82424566250,2025-09-23 14:03:00
20250923,140400,387500,388000,388500,387500,280,82533151250,2025-09-23 14:04:00
20250923,140500,388500,388000,388500,387500,127,82582406750,2025-09-23 14:05:00
20250923,140600,388500,388000,388500,387500,106,82623575250,2025-09-23 14:06:00
20250923,140700,387500,388000,388500,387500,185,82695388250,2025-09-23 14:07:00
20250923,140800,386500,388500,388500,386500,835,83018910750,2025-09-23 14:08:00
20250923,140900,386500,387000,388000,386500,314,83140449250,2025-09-23 14:09:00
20250923,141000,387000,387000,387500,386500,218,83224803750,2025-09-23 14:10:00
20250923,141100,387500,387500,387500,387000,174,83292186750,2025-09-23 14:11:00
20250923,141200,387500,387000,388000,387000,117,83337528250,2025-09-23 14:12:00
