date,time,close,open,high,low,volume,acml_tr_pbmn,datetime
20251001,132100,60100,60000,60100,60000,4824,72375036800,2025-10-01 13:21:00
20251001,132200,60000,60000,60100,60000,841,72425518100,2025-10-01 13:22:00
20251001,132300,60000,60000,60100,60000,1254,72500817800,2025-10-01 13:23:00
20251001,132400,60100,60000,60100,60000,1491,72590296800,2025-10-01 13:24:00
20251001,132500,60000,60000,60100,60000,1260,72665927900,2025-10-01 13:25:00
20251001,132600,60000,60000,60100,60000,2060,72789546900,2025-10-01 13:26:00
20251001,132700,60100,60000,60100,60000,1254,72864829900,2025-10-01 13:27:00
20251001,132800,60000,60000,60100,60000,1176,72935424300,2025-10-01 13:28:00
20251001,132900,60000,60000,60100,60000,4545,73208477400,2025-10-01 13:29:00
20251001,133000,60000,60000,60100,60000,1946,73325310100,2025-10-01 13:30:00
20251001,133100,60000,60000,60100,60000,3060,73509011600,2025-10-01 13:31:00
20251001,133200,60000,60100,60100,60000,5802,73857406700,2025-10-01 13:32:00
20251001,133300,60000,60000,60100,60000,1288,73934713000,2025-10-01 13:33:00
20251001,133400,60000,60000,60100,60000,1567,74028823700,2025-10-01 13:34:00
20251001,133500,60000,60000,60100,60000,3000,74208865900,2025-10-01 13:35:00
20251001,133600,60000,60000,60100,60000,7866,74680898800,2025-10-01 13:36:00
20251001,133700,60000,60000,60100,60000,1260,74756536400,2025-10-01 13:37:00
20251001,133800,60000,60000,60100,60000,3495,74966272800,2025-10-01 13:38:00
20251001,133900,60000,60000,60100,60000,1092,75031814400,2025-10-01 13:39:00
20251001,134000,60000,60100,60100,60000,1470,75120061700,2025-10-01 13:40:00
20251001,134100,60000,60000,60100,60000,1374,75202539500,2025-10-01 13:41:00
20251001,134200,60000,60000,60100,60000,3805,75430884900,2025-10-01 13:42:00
20251001,134300,60000,60000,60100,59900,6544,75823548000,2025-10-01 13:43:00
20251001,134400,60000,60000,60100,60000,888,75876838300,2025-10-01 13:44:00
20251001,134500,60100,60000,60100,60000,1570,75971074300,2025-10-01 13:45:00
20251001,134600,60100,60000,60100,60000,3013,76152055800,2025-10-01 13:46:00
20251001,134700,60000,60000,60100,60000,1461,76239729800,2025-10-01 13:47:00
20251001,134800,60100,60000,60100,60000,1829,76349521000,2025-10-01 13:48:00
20251001,134900,60000,60000,60100,60000,4416,76614545600,2025-10-01 13:49:00
20251001,135000,60000,60000,60100,60000,1271,76690824300,2025-10-01 13:50:00
20251001,135100,60000,60000,60100,60000,1945,76807582100,2025-10-01 13:51:00
20251001,135200,60000,60000,60100,60000,1729,76911440100,2025-10-01 13:52:00
20251001,135300,60000,60100,60100,60000,1180,76982253500,2025-10-01 13:53:00
20251001,135400,60100,60000,60100,60000,6985,77401380000,2025-10-01 13:54:00
20251001,135500,60000,60100,60100,60000,1687,77502642000,2025-10-01 13:55:00
20251001,135600,60000,60000,60100,60000,1085,77567776600,2025-10-01 13:56:00
20251001,135700,60100,60000,60100,60000,2563,77721571200,2025-10-01 13:57:00
20251001,135800,60000,60000,60100,60000,876,77774162300,2025-10-01 13:58:00
20251001,135900,60000,60000,60100,60000,1344,77854815400,2025-10-01 13:59:00
20251001,140000,60000,60000,60100,60000,1189,77926180650,2025-10-01 14:00:00
20251001,140100,60000,60000,60100,60000,1943,78042859850,2025-10-01 14:01:00
20251001,140200,60000,60000,60100,60000,1388,78126150350,2025-10-01 14:02:00
20251001,140300,60000,60000,60100,60000,1013,78186967150,2025-10-01 14:03:00
20251001,140400,60000,60100,60100,60000,1765,78292907700,2025-10-01 14:04:00
20251001,140500,60000,60000,60100,60000,3017,78473990700,2025-10-01 14:05:00
20251001,140600,60000,60000,60100,60000,1347,78554829900,2025-10-01 14:06:00
20251001,140700,60000,60000,60100,60000,3839,78785181350,2025-10-01 14:07:00
20251001,140800,60000,60000,60100,60000,1693,78886808250,2025-10-01 14:08:00
20251001,140900,60000,60100,60100,60000,984,78945868650,2025-10-01 14:09:00
20251001,141000,60000,60000,60100,60000,1719,79049064950,2025-10-01 14:10:00
20251001,141100,60000,60000,60100,60000,1316,79128084450,2025-10-01 14:11:00
20251001,141200,60000,60000,60100,60000,1551,79221159150,2025-10-01 14:12:00
20251001,141300,59900,60100,60100,59900,10782,79868011150,2025-10-01 14:13:00
20251001,141400,59900,59900,60000,59900,7512,80318004500,2025-10-01 14:14:00
20251001,141500,59900,60000,60000,59900,1083,80382911700,2025-10-01 14:15:00
20251001,141600,59900,59900,60000,59900,3138,80570882650,2025-10-01 14:16:00
20251001,141700,59900,60000,60000,59900,787,80618028400,2025-10-01 14:17:00
20251001,141800,59950,59900,60000,59900,1942,80734397650,2025-10-01 14:18:00
20251001,141900,59900,59900,60000,59900,1922,80849584000,2025-10-01 14:19:00
20251001,142000,59900,60000,60000,59900,2674,81009850200,2025-10-01 14:20:00
20251001,142100,60000,59900,60100,59900,21500,82300147700,2025-10-01 14:21:00
20251001,142200,60000,60000,60100,60000,1332,82380142700,2025-10-01 14:22:00
20251001,142300,60000,60000,60100,60000,1255,82455507400,2025-10-01 14:23:00
20251001,142400,60000,60000,60100,60000,2472,82603986900,2025-10-01 14:24:00
20251001,142500,60100,60000,60100,60000,6454,82991464500,2025-10-01 14:25:00
20251001,142600,60100,60000,60100,60000,1469,83079615100,2025-10-01 14:26:00
20251001,142700,60000,60000,60100,59900,7305,83517827000,2025-10-01 14:27:00
20251001,142800,59900,60000,60000,59900,1416,83602670800,2025-10-01 14:28:00
20251001,142900,59900,60000,60000,59900,1212,83675308200,2025-10-01 14:29:00
20251001,143000,60000,59900,60000,59900,1494,83764818800,2025-10-01 14:30:00
20251001,143100,59900,59900,60000,59900,1348,83845612700,2025-10-01 14:31:00
20251001,143200,59900,59900,60000,59900,2083,83970413400,2025-10-01 14:32:00
20251001,143300,59900,59900,60000,59900,742,84014883250,2025-10-01 14:33:00
20251001,143400,59900,60000,60000,59900,2002,84134858750,2025-10-01 14:34:00
20251001,143500,59900,59900,60000,59900,1299,84212708550,2025-10-01 14:35:00
20251001,143600,59900,59900,60000,59900,1512,84303335600,2025-10-01 14:36:00
20251001,143700,60100,60000,60100,59900,14311,85161975000,2025-10-01 14:37:00
20251001,143800,59900,60100,60100,59900,8934,85697898200,2025-10-01 14:38:00
20251001,143900,60000,60000,60000,59900,3270,85893974900,2025-10-01 14:39:00
20251001,144000,60000,60000,60000,59900,2276,86030455250,2025-10-01 14:40:00
20251001,144100,59900,60000,60000,59900,2712,86193123850,2025-10-01 14:41:00
20251001,144200,60000,59900,60000,59900,1418,86278109050,2025-10-01 14:42:00
20251001,144300,60000,59900,60000,59900,880,86330868500,2025-10-01 14:43:00
20251001,144400,59900,59900,60000,59900,1422,86416102800,2025-10-01 14:44:00
20251001,144500,60000,60000,60000,59900,841,86466504550,2025-10-01 14:45:00
20251001,144600,59900,59900,60000,59900,2085,86591441550,2025-10-01 14:46:00
20251001,144700,59900,59900,60000,59900,1236,86665545350,2025-10-01 14:47:00
20251001,144800,60000,59900,60000,59900,1864,86777338050,2025-10-01 14:48:00
20251001,144900,59900,59900,60000,59900,4474,87045404850,2025-10-01 14:49:00
20251001,145000,60000,59900,60000,59900,1907,87159734450,2025-10-01 14:50:00
20251001,145100,59900,59900,60000,59900,2083,87284589050,2025-10-01 14:51:00
