Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,57455,58356,55953,57856,57856,30111
2015-01-05,56554,59457,56554,59357,59357,30491
2015-01-06,59356,59857,57955,58756,58756,26884
2015-01-07,58155,58556,56053,56054,56054,31630
2015-01-08,55453,55653,53551,53551,53551,36485
2015-01-09,54352,55653,53050,55553,55553,30166
2015-01-12,55553,55553,54252,54452,54452,18632
2015-01-13,54452,54852,53451,53952,53952,25036
2015-01-14,53951,55253,53651,54452,54452,22528
2015-01-15,53851,56554,53651,56454,56454,25745
2015-01-16,55853,58656,55753,58256,58256,37669
2015-01-19,58255,61659,57855,61559,61559,48109
2015-01-20,61659,63961,61058,62860,62860,33148
2015-01-21,62459,64261,60958,63961,63961,29876
2015-01-22,64762,64762,62760,62760,62760,9761
2015-01-23,62760,64061,62560,63561,63561,5859
2015-01-26,62760,63961,61859,62860,62860,9531
2015-01-27,64361,64361,62359,62960,62960,12448
2015-01-28,65362,65362,62860,63361,63361,19921
2015-01-29,63861,65863,63561,65763,65763,12778
2015-01-30,64862,65863,64161,65663,65663,20980
2015-02-02,64862,66764,64662,66664,66664,18947
2015-02-03,65863,66764,64261,64462,64462,24766
2015-02-04,64561,66964,64461,65363,65363,28518
2015-02-05,64862,66964,64862,65663,65663,19172
2015-02-06,65362,67064,65362,66364,66364,15061
2015-02-09,66063,66864,64261,65163,65163,15565
2015-02-10,65963,67664,64261,65463,65463,25351
2015-02-11,64662,68465,64662,68065,68065,25216
2015-02-12,68766,69766,66563,68666,68666,22463
2015-02-13,69066,70267,68365,70167,70167,20315
2015-02-16,69266,71068,69066,70067,70067,17883
2015-02-17,69566,71568,67664,67865,67865,19072
2015-02-23,69466,70767,67564,70167,70167,20485
2015-02-24,69266,78074,69266,77775,77775,34512
2015-02-25,80076,80076,74271,75172,75172,47599
2015-02-26,75272,77874,74271,77274,77274,21265
2015-02-27,75872,78775,74171,76473,76473,33538
2015-03-02,75572,77874,74771,76373,76373,24277
2015-03-03,75472,80076,74571,76674,76674,32818
2015-03-04,75672,79276,75472,78075,78075,29681
2015-03-05,77274,78975,76073,77574,77574,35751
2015-03-06,77574,78275,76173,76173,76173,19706
2015-03-09,74971,77374,72469,73871,73871,27798
2015-03-10,73870,76573,73170,75472,75472,35581
2015-03-11,75372,75372,71969,72269,72269,34976
2015-03-12,71468,72970,71068,71068,71068,28632
2015-03-13,70267,73670,70267,71569,71569,26030
2015-03-16,71168,74471,71168,74071,74071,29037
2015-03-17,73170,75372,73170,74471,74471,17393
2015-03-18,75972,75972,72169,72570,72570,26200
2015-03-19,73170,74971,70667,74171,74171,19042
2015-03-20,74271,77374,73070,73370,73370,62820
2015-03-23,73971,73971,71368,71469,71469,28033
2015-03-24,71468,73770,71468,73270,73270,24906
2015-03-25,72469,73570,71668,72369,72369,27064
2015-03-26,73270,73270,71668,72470,72470,29587
2015-03-27,72369,72469,70367,70768,70768,19551
2015-03-30,72469,75572,71969,74371,74371,38193
2015-03-31,75472,80076,74171,80077,80077,96682
2015-04-01,79075,81578,75772,75773,75773,41985
2015-04-02,75472,76473,75072,75573,75573,23882
2015-04-03,76773,76773,74371,76273,76273,13952
2015-04-06,75672,76073,74071,74772,74772,20231
2015-04-07,74671,74771,72269,73170,73170,38553
2015-04-08,72269,74071,72269,73370,73370,13437
2015-04-09,73270,73670,71868,71869,71869,22418
2015-04-10,71268,74171,71268,73170,73170,28647
2015-04-13,72669,74871,69766,71268,71268,36135
2015-04-14,70767,70767,66864,67164,67164,67840
2015-04-15,67164,69967,67164,69266,69266,32719
2015-04-16,69266,71068,68966,70368,70368,52495
2015-04-17,70367,73870,70367,73170,73170,38818
2015-04-20,73170,74171,70067,70067,70067,28707
2015-04-21,70667,72369,69766,70267,70267,19506
2015-04-22,70267,71768,67464,68566,68566,45641
2015-04-23,67965,70067,67664,69667,69667,37339
2015-04-24,68565,70667,67664,69266,69266,36665
2015-04-27,68766,71068,68265,70668,70668,32214
2015-04-28,72369,73971,71568,73270,73270,49088
2015-04-29,73971,74371,71868,72570,72570,25031
2015-04-30,74271,74271,70267,70468,70468,28178
2015-05-04,71168,71368,68465,69967,69967,21070
2015-05-06,69166,69466,67164,67164,67164,26594
2015-05-07,67364,67364,64461,65863,65863,29027
2015-05-08,66263,70267,65663,67965,67965,36270
2015-05-11,68065,72269,67965,72169,72169,19356
2015-05-12,71168,73370,71168,71969,71969,16055
2015-05-13,70868,72269,70267,70668,70668,18342
2015-05-14,69466,70167,67765,69066,69066,35261
2015-05-15,69967,70167,68766,69667,69667,15245
2015-05-18,70467,70467,67064,68866,68866,24881
2015-05-19,68866,69766,67664,68866,68866,16874
2015-05-20,68065,69366,67164,68566,68566,20226
2015-05-21,68065,72869,67965,72570,72570,44232
2015-05-22,71868,74271,71168,73170,73170,34772
2015-05-26,72669,72669,69666,69767,69767,35036
2015-05-27,68665,69766,66664,66964,66964,34087
2015-05-28,66663,68065,66263,67064,67064,13577
2015-05-29,66664,68365,65663,66664,66664,20845
2015-06-01,66163,66663,62860,65563,65563,34951
2015-06-02,64662,64762,63160,63161,63161,26065
2015-06-03,62459,63561,60858,61259,61259,23687
2015-06-04,61258,63160,61258,62260,62260,24886
2015-06-05,61158,62560,60858,61159,61159,22443
2015-06-08,61158,65763,61158,65563,65563,26295
2015-06-09,65262,65262,62359,62660,62660,37254
2015-06-10,62459,63460,60858,60858,60858,25505
2015-06-11,60858,61459,57755,58056,58056,92861
2015-06-12,58756,66764,58356,66764,66764,115754
2015-06-15,66764,73870,63761,72269,72269,160296
2015-06-16,72269,72269,67464,67765,67765,51506
2015-06-17,68365,68465,63761,64962,64962,31879
2015-06-18,66964,68966,65262,68666,68666,36345
2015-06-19,69566,69566,65162,65563,65563,36120
2015-06-22,65763,66063,63360,64062,64062,50372
2015-06-23,64061,66263,63761,65363,65363,37119
2015-06-24,64862,67564,64862,66264,66264,23607
2015-06-25,66263,69266,65663,69166,69166,28288
2015-06-26,69566,72869,69166,72670,72670,69798
2015-06-29,71668,76573,70767,74972,74972,87516
2015-06-30,74871,76773,74271,75673,75673,66876
2015-07-01,75672,76173,73070,75472,75472,47909
2015-07-02,74271,76273,72469,75072,75072,50841
2015-07-03,74271,77174,73971,76173,76173,37479
2015-07-06,74571,76373,70667,73571,73571,33653
2015-07-07,73570,74771,70467,74772,74772,39667
2015-07-08,77073,77073,73370,76273,76273,34692
2015-07-09,77073,77073,72469,75773,75773,30391
2015-07-10,74971,79676,74071,79676,79676,43913
2015-07-13,79576,89886,78175,85082,85082,100588
2015-07-14,85081,92088,83179,88685,88685,68479
2015-07-15,89586,92789,88885,90787,90787,41120
