Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,23650,23850,23300,23700,23700,84132
2015-01-05,23700,24300,23600,24200,24200,75258
2015-01-06,24050,24250,23700,23750,23750,68988
2015-01-07,23800,23950,23450,23800,23800,51311
2015-01-08,23850,24000,23600,23600,23600,41378
2015-01-09,23650,24750,23600,24650,24650,112831
2015-01-12,24600,25150,24400,25000,25000,80333
2015-01-13,25050,25250,24750,24750,24750,64398
2015-01-14,24750,25200,24600,25000,25000,46603
2015-01-15,24850,26600,24800,26550,26550,270085
2015-01-16,26650,26700,25950,26250,26250,89101
2015-01-19,26450,27350,26250,26900,26900,149163
2015-01-20,26800,27350,26800,27000,27000,81182
2015-01-21,27100,27500,26700,27000,27000,92120
2015-01-22,27300,27300,26200,26450,26450,90866
2015-01-23,26700,27100,26150,26650,26650,83085
2015-01-26,26850,28700,26650,27750,27750,236783
2015-01-27,28050,28150,26950,27200,27200,136137
2015-01-28,27100,27950,27000,27800,27800,99439
2015-01-29,27750,28200,27450,28000,28000,67622
2015-01-30,28000,28400,27800,28200,28200,100341
2015-02-02,28450,28450,27600,27700,27700,64331
2015-02-03,27650,27800,27150,27300,27300,67228
2015-02-04,27450,27800,27200,27600,27600,69966
2015-02-05,27700,27950,27200,27950,27950,70496
2015-02-06,27950,28050,27650,27650,27650,60948
2015-02-09,27950,27950,27100,27350,27350,80607
2015-02-10,27500,27600,26600,26750,26750,80570
2015-02-11,26750,27550,26700,27500,27500,98908
2015-02-12,27700,29350,27500,28600,28600,247003
2015-02-13,28500,29000,28400,28650,28650,118886
2015-02-16,28900,30000,28900,29900,29900,284451
2015-02-17,30050,30350,29450,30000,30000,173269
2015-02-23,30750,31100,29950,31100,31100,277905
2015-02-24,33450,33900,30950,30950,30950,723772
2015-02-25,30850,30950,29000,29350,29350,427094
2015-02-26,29400,30050,29200,29300,29300,160887
2015-02-27,29300,29500,28850,29500,29500,134795
2015-03-02,29950,29950,29000,29400,29400,178737
2015-03-03,29450,29500,28750,29300,29300,131122
2015-03-04,29150,29450,28950,28950,28950,118399
2015-03-05,28900,30000,28900,29750,29750,176682
2015-03-06,30150,30700,29800,30600,30600,192558
2015-03-09,30250,31200,30100,30700,30700,146554
2015-03-10,31350,32100,30400,30600,30600,351775
2015-03-11,30600,31750,30400,31600,31600,172290
2015-03-12,31800,32400,31100,31500,31500,160226
2015-03-13,31550,32400,31400,31850,31850,168286
2015-03-16,31900,32750,31700,31950,31950,130149
2015-03-17,32150,33200,31900,33150,33150,207239
2015-03-18,33150,34150,32750,33300,33300,302778
2015-03-19,33700,34950,33250,33700,33700,315197
2015-03-20,33450,35500,33450,35000,35000,621656
2015-03-23,35050,35350,33950,34800,34800,343826
2015-03-24,35100,35350,34450,35200,35200,175247
2015-03-25,35100,35350,34100,34400,34400,203378
2015-03-26,34000,34850,33150,33200,33200,263275
2015-03-27,33300,33900,33050,33400,33400,159814
2015-03-30,33600,34350,33250,33300,33300,135224
2015-03-31,33500,33950,33200,33950,33950,119633
2015-04-01,33700,34000,33300,33600,33600,109595
2015-04-02,33600,34650,33100,34000,34000,190015
2015-04-03,33800,34400,33350,33350,33350,96490
2015-04-06,33150,33700,33050,33200,33200,114736
2015-04-07,33500,34200,33300,33400,33400,126259
2015-04-08,33400,33550,31800,32100,32100,305804
2015-04-09,32100,32750,31950,32050,32050,182748
2015-04-10,32150,32450,31900,32300,32300,135346
2015-04-13,32650,33400,32600,33250,33250,133567
2015-04-14,33300,33300,31850,31950,31950,153316
2015-04-15,31950,33250,31900,32800,32800,154792
2015-04-16,33000,34150,32650,33200,33200,197819
2015-04-17,33300,33800,32900,33250,33250,129728
2015-04-20,32800,34150,32500,33800,33800,219530
2015-04-21,34000,34100,33150,33200,33200,108300
2015-04-22,33200,38000,32500,36250,36250,992268
2015-04-23,36750,36900,33800,34050,34050,493965
2015-04-24,33700,33950,32050,32050,32050,381314
2015-04-27,32100,33500,32100,32900,32900,151264
2015-04-28,32900,32950,31700,32100,32100,160007
2015-04-29,32150,33050,32000,32500,32500,131981
2015-04-30,32650,33050,32100,32600,32600,128349
2015-05-04,32450,33000,31900,32000,32000,86756
2015-05-06,31800,31800,29800,30600,30600,212007
2015-05-07,30250,30900,30000,30850,30850,81759
2015-05-08,31000,31300,30700,31000,31000,59518
2015-05-11,31300,32450,31200,32400,32400,138175
2015-05-12,32650,33600,32050,32600,32600,143786
2015-05-13,32750,33300,32400,32800,32800,78183
2015-05-14,32700,33350,32650,32900,32900,87114
2015-05-15,33000,34200,32400,32550,32550,178759
2015-05-18,32500,35350,31650,34700,34700,456223
2015-05-19,34750,39300,34300,37900,37900,727203
2015-05-20,37900,39850,37600,38700,38700,625347
2015-05-21,39200,41800,39200,40950,40950,597464
2015-05-22,42450,42800,39000,41000,41000,486937
2015-05-26,41750,42600,40400,41000,41000,341767
2015-05-27,40950,46700,39600,45950,45950,728427
2015-05-28,46100,47350,44550,46100,46100,478609
2015-05-29,46100,49200,45300,46000,46000,451562
2015-06-01,46500,48000,45200,46950,46950,377052
2015-06-02,47550,48500,46500,48450,48450,508980
2015-06-03,51500,52600,46800,47450,47450,830139
