Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,8209,8419,8183,8387,8387,825067
2015-01-05,8334,8393,8233,8353,8353,786017
2015-01-06,8293,8302,8064,8116,8116,1028136
2015-01-07,8054,8147,8029,8040,8040,633857
2015-01-08,8088,8156,8037,8040,8040,653243
2015-01-09,8158,8166,8064,8116,8116,909160
2015-01-12,8122,8325,8054,8311,8311,1072697
2015-01-13,8318,8403,8234,8251,8251,804141
2015-01-14,8266,8308,8072,8082,8082,1114424
2015-01-15,8080,8182,8080,8150,8150,629957
2015-01-16,8140,8140,7802,7913,7913,1625937
2015-01-19,7945,8046,7945,7990,7990,637115
2015-01-20,8039,8099,7912,7981,7981,950045
2015-01-21,8046,8080,7962,8040,8040,1003957
2015-01-22,8122,8589,8098,8505,8505,3644120
2015-01-23,8674,8801,8462,8590,8590,2178225
2015-01-26,8589,8673,8462,8548,8548,711768
2015-01-27,8674,8970,8631,8971,8971,2161419
2015-01-28,8842,9180,8757,9140,9140,1643285
2015-01-29,9013,9097,8631,8674,8674,2034056
2015-01-30,8758,8801,8589,8633,8633,1139461
2015-02-02,8674,8970,8674,8971,8971,1318346
2015-02-03,9180,9265,9054,9182,9182,1649503
2015-02-04,9308,9476,9054,9182,9182,2587142
2015-02-05,9309,9816,9224,9818,9818,5205237
2015-02-06,9816,10028,9604,10029,10029,2646578
2015-02-09,9943,10155,9858,10071,10071,1844471
2015-02-10,10070,10113,9774,9775,9775,1956460
2015-02-11,9858,9943,9732,9775,9775,1591475
2015-02-12,9816,10070,9690,9818,9818,2393640
2015-02-13,9351,9858,9096,9733,9733,4470620
2015-02-16,9857,10323,9815,10283,10283,2634354
2015-02-17,10238,10407,10027,10283,10283,1089468
2015-02-23,10408,10408,10196,10325,10325,1024794
2015-02-24,10365,10661,10238,10663,10663,2085393
2015-02-25,10747,11001,10620,10833,10833,2858197
2015-02-26,10789,11000,10746,11002,11002,1353349
2015-02-27,11001,11043,10747,10917,10917,1280886
2015-03-02,11001,11297,10917,11299,11299,1750896
2015-03-03,11381,11424,10747,10748,10748,3392897
2015-03-04,10619,10873,10535,10621,10621,2491487
2015-03-05,10703,10831,10535,10663,10663,1152777
2015-03-06,10703,10831,10577,10706,10706,1099613
