Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,117056,118028,116085,116571,116571,4947
2015-01-05,115599,117056,113656,115114,115114,10556
2015-01-06,114142,116084,112199,114142,114142,11039
2015-01-07,113656,113656,109285,109771,109771,16720
2015-01-08,109770,110742,107828,107828,107828,12653
2015-01-09,108799,111227,107827,109285,109285,12783
2015-01-12,108314,111228,108314,110257,110257,6353
2015-01-13,110742,114142,109771,113657,113657,16388
2015-01-14,113171,114628,110742,113657,113657,10384
2015-01-15,112200,116085,111228,115600,115600,9318
2015-01-16,113657,117057,111228,115600,115600,20574
2015-01-19,115600,116571,112200,112200,112200,16238
2015-01-20,112685,113656,109771,111714,111714,19196
2015-01-21,110742,111713,108314,108314,108314,22556
2015-01-22,108313,109284,105884,107342,107342,25691
2015-01-23,108314,108800,105400,105400,105400,18981
2015-01-26,105884,105884,102485,102485,102485,21053
2015-01-27,104428,110257,103942,108800,108800,36448
2015-01-28,107342,114628,107342,113171,113171,43157
2015-01-29,113171,118028,111714,115114,115114,49583
2015-01-30,114142,122399,114142,121914,121914,43169
2015-02-02,121913,122885,115599,116571,116571,25582
2015-02-03,116084,119484,115113,117542,117542,30576
2015-02-04,118027,118999,114627,116085,116085,20933
2015-02-05,116085,117056,114627,116085,116085,17052
2015-02-06,116085,117542,113656,116085,116085,21298
2015-02-09,115113,116570,113170,114142,114142,27286
2015-02-10,113657,114142,110257,112200,112200,23066
2015-02-11,112199,115599,112199,114142,114142,14216
2015-02-12,114141,115113,110742,110742,110742,18649
2015-02-13,110742,114142,110256,113171,113171,12361
2015-02-16,112199,118028,112199,115114,115114,16872
2015-02-17,116570,118513,115599,118028,118028,9838
2015-02-23,116571,117542,114142,115114,115114,9215
2015-02-24,113656,117542,113656,116571,116571,10918
2015-02-25,116085,117056,114628,115114,115114,9025
2015-02-26,116085,120456,115113,119485,119485,16951
2015-02-27,118513,119485,116085,116571,116571,9992
2015-03-02,116084,118513,115599,117542,117542,8982
2015-03-03,117542,119971,116085,119000,119000,14236
2015-03-04,118999,121914,118514,120457,120457,14213
2015-03-05,120456,127742,120456,121914,121914,47848
2015-03-06,124342,131142,123371,130171,130171,43347
2015-03-09,131628,135999,129685,133571,133571,45147
2015-03-10,134056,135999,132114,132114,132114,24944
2015-03-11,131628,139885,129685,136000,136000,61479
2015-03-12,135999,147171,135999,140857,140857,93785
2015-03-13,141827,144256,137942,141342,141342,51537
2015-03-16,141828,144256,136485,138914,138914,67696
2015-03-17,140856,145227,138913,141828,141828,62561
2015-03-18,141827,147656,141342,144742,144742,74483
2015-03-19,147171,156400,144742,156400,156400,195598
2015-03-20,157856,177284,156399,165142,165142,200452
2015-03-23,165142,165142,155428,155914,155914,114344
2015-03-24,157371,160771,152514,154457,154457,120137
2015-03-25,155913,159799,152513,158828,158828,65330
2015-03-26,157856,157856,149599,152028,152028,94618
2015-03-27,155428,167571,154456,166114,166114,191134
2015-03-30,169028,173399,160771,164171,164171,93222
2015-03-31,163200,165142,159314,163200,163200,49170
2015-04-01,164171,168057,159314,161257,161257,34525
2015-04-02,161742,174370,159313,169028,169028,61004
2015-04-03,169999,169999,159313,164171,164171,61201
2015-04-06,161742,166113,159313,163685,163685,39742
2015-04-07,165142,165142,159313,160285,160285,36682
2015-04-08,159799,167571,159314,162714,162714,40611
2015-04-09,162714,173399,162714,171457,171457,48803
2015-04-10,169999,171942,166114,169514,169514,36692
2015-04-13,167570,170970,162713,163685,163685,44871
2015-04-14,162713,163685,155428,158828,158828,51120
2015-04-15,156400,165628,156400,163200,163200,37468
2015-04-16,164170,167084,160770,163685,163685,38475
2015-04-17,163685,166599,160285,164171,164171,27523
2015-04-20,163685,164171,160285,160771,160771,25539
