Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,6192,6387,6176,6225,6225,16380
2015-01-05,6160,6419,6143,6387,6387,31923
2015-01-06,6370,6370,6111,6144,6144,40360
2015-01-07,6192,6192,5981,6063,6063,38044
2015-01-08,6030,6176,5997,5998,5998,32696
2015-01-09,6143,6175,5981,6111,6111,17748
2015-01-12,6046,6354,6046,6257,6257,20070
2015-01-13,6354,6354,6062,6160,6160,35368
2015-01-14,6160,6241,5965,6209,6209,72957
2015-01-15,6192,6192,5949,6047,6047,127497
2015-01-16,6030,6046,5835,5917,5917,81085
2015-01-19,5868,6030,5852,5982,5982,29826
2015-01-20,5997,5997,5867,5949,5949,33455
2015-01-21,5900,6046,5851,6030,6030,65189
2015-01-22,5948,6111,5916,6111,6111,102344
2015-01-23,6078,6110,5932,6030,6030,86083
2015-01-26,6030,6046,5916,6014,6014,49157
2015-01-27,6013,6062,5965,6014,6014,26491
2015-01-28,5997,6062,5949,5998,5998,20804
2015-01-29,5965,6111,5965,6079,6079,37584
2015-01-30,6030,6160,6014,6128,6128,32317
2015-02-02,6094,6192,6013,6014,6014,40310
2015-02-03,6110,6110,5948,6030,6030,41828
2015-02-04,6029,6094,5867,5949,5949,112814
2015-02-05,5965,6029,5916,5949,5949,45453
2015-02-06,5933,5933,5835,5852,5852,80831
2015-02-09,5868,5998,5852,5982,5982,91096
2015-02-10,6013,6046,5819,6030,6030,106538
2015-02-11,5997,6111,5949,6095,6095,59512
2015-02-12,6062,6127,5997,6030,6030,34209
2015-02-13,6030,6079,5916,6079,6079,67990
2015-02-16,6143,6159,5948,6014,6014,45363
2015-02-17,6095,6144,6014,6144,6144,77680
2015-02-23,6144,6322,6111,6274,6274,952136
2015-02-24,6435,6435,6256,6338,6338,56941
2015-02-25,6451,6629,6337,6565,6565,57840
2015-02-26,6629,6678,6500,6549,6549,36411
2015-02-27,6565,6711,6484,6695,6695,46891
2015-03-02,6791,6840,6581,6792,6792,51414
2015-03-03,6743,6824,6710,6792,6792,47654
2015-03-04,6808,6808,6597,6744,6744,74131
2015-03-05,6694,6776,6646,6776,6776,24479
2015-03-06,6743,6807,6629,6808,6808,35223
2015-03-09,7067,7067,6629,6711,6711,80077
2015-03-10,6824,6824,6532,6711,6711,40675
2015-03-11,6760,6760,6500,6744,6744,59173
2015-03-12,6807,6807,6499,6500,6500,123124
2015-03-13,6549,6808,6484,6760,6760,92593
2015-03-16,6938,6938,6678,6695,6695,33910
2015-03-17,6792,6792,6581,6728,6728,71275
2015-03-18,6791,6791,6629,6646,6646,30859
2015-03-19,6614,6792,6614,6744,6744,41289
2015-03-20,6695,6743,6452,6679,6679,87706
2015-03-23,6581,6824,6581,6776,6776,97162
2015-03-24,6728,7036,6646,6955,6955,193510
2015-03-25,6840,7343,6840,7100,7100,30989
2015-03-26,7326,7326,6986,7100,7100,26161
2015-03-27,7262,7262,7084,7133,7133,16990
2015-03-30,7051,7197,7051,7133,7133,12721
2015-03-31,7067,7181,6986,7149,7149,44160
2015-04-01,7230,7424,7100,7198,7198,142590
2015-04-02,7408,7408,7116,7198,7198,36042
2015-04-03,7116,7375,6937,7327,7327,117567
