Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,13262,13907,13170,13723,13723,289701
2015-01-05,13723,14045,13492,13769,13769,188964
2015-01-06,13538,13815,13308,13447,13447,214180
2015-01-07,13354,13492,13170,13355,13355,136181
2015-01-08,13354,13769,13308,13493,13493,167810
2015-01-09,13584,13630,13262,13355,13355,203682
2015-01-12,13216,13630,13216,13309,13309,204926
2015-01-13,13308,13492,13124,13309,13309,202629
2015-01-14,13446,13446,13170,13217,13217,104841
2015-01-15,13170,14275,13170,14276,14276,600438
2015-01-16,14275,15058,14091,14736,14736,794159
2015-01-19,14874,14920,14413,14690,14690,262936
2015-01-20,14644,14920,14321,14368,14368,265211
2015-01-21,14367,14690,13907,14138,14138,535236
2015-01-22,14091,14413,13723,13861,13861,429291
2015-01-23,13953,14045,13677,13815,13815,279144
2015-01-26,13999,14321,13907,14092,14092,252535
2015-01-27,14229,14229,12756,12756,12756,660791
2015-01-28,12756,13078,12663,12756,12756,320808
2015-01-29,12894,12986,12387,12710,12710,272833
2015-01-30,12802,13032,12525,12618,12618,258040
2015-02-02,12571,12802,11973,12249,12249,378392
2015-02-03,12295,12663,12111,12664,12664,279518
2015-02-04,12848,13216,12756,13217,13217,550855
2015-02-05,13262,13262,12848,13032,13032,278043
2015-02-06,13078,13124,12848,13032,13032,223128
2015-02-09,13124,13216,12848,12940,12940,216726
2015-02-10,12894,13308,12894,13217,13217,217157
2015-02-11,13216,13677,13170,13585,13585,338591
2015-02-12,13677,13677,13354,13631,13631,198221
2015-02-13,13723,13723,13262,13263,13263,148103
2015-02-16,13170,13400,12848,12848,12848,203375
2015-02-17,12848,12894,12663,12894,12894,113365
2015-02-23,12802,12986,12387,12618,12618,293243
2015-02-24,12709,13216,12525,13078,13078,288400
2015-02-25,13032,13170,12802,12848,12848,192990
2015-02-26,12940,13308,12709,13309,13309,247933
2015-02-27,13216,13815,13170,13677,13677,359651
2015-03-02,13723,13861,13584,13631,13631,263378
2015-03-03,13677,13769,13262,13355,13355,213880
2015-03-04,13354,13492,13032,13078,13078,278397
2015-03-05,12986,13216,12894,13217,13217,171251
2015-03-06,13308,14505,13262,14322,14322,1158149
2015-03-09,14229,14505,14045,14368,14368,687629
2015-03-10,14505,14644,13538,13907,13907,593693
2015-03-11,13584,13953,13446,13539,13539,463602
2015-03-12,13677,14413,13630,13677,13677,627608
2015-03-13,13815,13861,13354,13585,13585,352109
2015-03-16,13723,13953,13538,13861,13861,306393
2015-03-17,13861,14137,13538,13999,13999,345871
2015-03-18,14275,16071,14229,16072,16072,2939381
2015-03-19,16117,16347,15703,16164,16164,1842075
2015-03-20,15334,16163,15150,16164,16164,1675307
2015-03-23,16347,16716,15887,16532,16532,886940
2015-03-24,16486,17084,16209,16394,16394,726606
2015-03-25,16624,16900,16163,16440,16440,779402
2015-03-26,16486,16716,16071,16302,16302,533189
2015-03-27,16163,16301,14644,15013,15013,1615021
2015-03-30,14966,15058,14690,14966,14966,518953
2015-03-31,14966,15196,14367,14598,14598,747745
2015-04-01,14459,14920,14367,14598,14598,499124
2015-04-02,14598,14874,14229,14828,14828,689468
2015-04-03,14552,15334,14552,15197,15197,476109
2015-04-06,15196,15334,14644,14782,14782,442031
2015-04-07,14828,14966,14505,14506,14506,282542
2015-04-08,14598,15058,14598,15059,15059,328828
2015-04-09,15058,15749,14966,15151,15151,544292
2015-04-10,15104,15473,14644,14782,14782,360790
2015-04-13,14920,15150,14644,15013,15013,273844
2015-04-14,15058,15058,14505,14598,14598,310768
2015-04-15,14505,15012,14505,15013,15013,270995
2015-04-16,14920,15196,14598,15197,15197,266917
2015-04-17,15242,16486,15150,16072,16072,993846
2015-04-20,15841,16578,15841,16026,16026,425953
2015-04-21,16163,16716,16071,16486,16486,623281
2015-04-22,16486,16670,15519,15980,15980,653261
2015-04-23,15933,16992,15426,16855,16855,652417
2015-04-24,16762,16992,16301,16624,16624,327271
2015-04-27,16578,17591,16440,17407,17407,547548
2015-04-28,17499,17683,17130,17361,17361,458808
2015-04-29,17499,18143,17315,17730,17730,663553
2015-04-30,17775,18190,17269,17499,17499,458654
2015-05-04,17545,17637,16532,16532,16532,437667
2015-05-06,16440,17361,16209,17131,17131,484164
2015-05-07,17084,17130,16394,16855,16855,252064
2015-05-08,16992,17269,16532,17131,17131,195853
2015-05-11,17315,17867,17130,17591,17591,342197
2015-05-12,17683,17683,16255,16532,16532,516673
2015-05-13,16532,17176,16440,17039,17039,251735
2015-05-14,17084,18143,16808,17637,17637,611021
2015-05-15,17683,19249,17499,19065,19065,1190993
2015-05-18,19525,19985,17361,19203,19203,1577587
2015-05-19,20262,22058,20262,22058,22058,2620546
2015-05-20,22472,22656,21367,22381,22381,1494239
2015-05-21,22472,22933,21828,22565,22565,1003004
2015-05-22,22702,23209,22196,22381,22381,977966
2015-05-26,22795,23117,22288,22795,22795,686622
2015-05-27,22334,22472,21321,21414,21414,751256
2015-05-28,21597,22150,21367,21506,21506,736997
2015-05-29,21505,23117,20860,22611,22611,1067620
2015-06-01,22656,22795,21551,21828,21828,507174
2015-06-02,21735,22380,21643,21874,21874,350232
2015-06-03,21781,23025,21321,22242,22242,602574
2015-06-04,22610,23347,21689,21782,21782,539146
2015-06-05,21413,22012,21275,21598,21598,305061
2015-06-08,21459,22656,21459,22427,22427,323544
2015-06-09,22242,22380,21367,21736,21736,387494
2015-06-10,21781,21920,20953,21183,21183,364070
2015-06-11,21505,23025,21091,23025,23025,649857
2015-06-12,22749,23209,22288,22565,22565,473434
2015-06-15,22610,23670,22196,22611,22611,469209
2015-06-16,22518,23209,22012,23210,23210,498077
2015-06-17,23577,24130,20262,21321,21321,1224326
