Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,34642,34892,33890,33940,33940,126456
2015-01-05,33689,34692,33088,34542,34542,187710
2015-01-06,33840,34391,33238,34091,34091,193387
2015-01-07,34140,34792,34090,34592,34592,133452
2015-01-08,34792,36246,34792,35294,35294,203121
2015-01-09,35594,36497,35344,35695,35695,348499
2015-01-12,35494,35694,34541,35194,35194,262179
2015-01-13,35093,35143,34090,34141,34141,127192
2015-01-14,34140,34441,33840,33840,33840,83574
2015-01-15,33840,34291,32135,34041,34041,329652
2015-01-16,33990,33990,32636,32637,32637,173552
2015-01-19,32887,36898,32887,36297,36297,530398
2015-01-20,35895,36446,34291,34341,34341,365404
2015-01-21,34341,34541,32987,33589,33589,195120
2015-01-22,34341,35394,34190,34692,34692,262658
2015-01-23,35694,36045,33388,33690,33690,278503
2015-01-26,33589,34842,33138,34542,34542,184915
2015-01-27,34842,35594,34842,35595,35595,211759
2015-01-28,35293,38803,35143,38101,38101,608117
2015-01-29,37600,39304,37148,38853,38853,357518
2015-01-30,39404,39505,37600,38703,38703,228766
2015-02-02,39605,41009,38602,39204,39204,493672
2015-02-03,39856,39956,38452,38853,38853,213999
2015-02-04,39805,40858,38001,38402,38402,498768
2015-02-05,37950,38402,37148,37801,37801,190297
2015-02-06,38151,38352,37499,38101,38101,148247
2015-02-09,37600,39655,37449,39054,39054,237742
2015-02-10,39304,40407,37850,38151,38151,256848
2015-02-11,38502,39354,38151,39305,39305,202297
2015-02-12,39354,39856,38001,39054,39054,218770
2015-02-13,39805,40006,37549,37700,37700,346084
2015-02-16,37850,37950,36998,37049,37049,181282
2015-02-17,36998,37399,36045,36397,36397,201425
2015-02-23,36797,36898,35694,36096,36096,200323
2015-02-24,35845,36096,34892,35043,35043,254910
2015-02-25,35093,36697,35093,36397,36397,291918
2015-02-26,36797,38502,36246,38502,38502,359601
2015-02-27,38301,39003,38001,38553,38553,187050
2015-03-02,38702,41359,38251,41059,41059,403135
2015-03-03,41159,41861,40206,41059,41059,299679
2015-03-04,41209,43164,40908,41210,41210,498256
2015-03-05,41159,42212,40106,40207,40207,265751
2015-03-06,40257,41610,39755,41611,41611,206137
2015-03-09,41109,41861,39906,40207,40207,218811
2015-03-10,40658,40658,38903,39104,39104,243074
2015-03-11,38251,38853,38051,38252,38252,176588
2015-03-12,38201,38502,37098,37099,37099,232525
2015-03-13,37399,37850,36948,36948,36948,195548
2015-03-16,36647,36747,35644,35695,35695,231525
2015-03-17,35995,37399,35795,37399,37399,184529
2015-03-18,37299,37299,36196,36297,36297,147578
2015-03-19,37148,37800,36747,37349,37349,231469
2015-03-20,37299,37349,36547,37349,37349,124468
2015-03-23,37900,38201,36898,37249,37249,159494
2015-03-24,37048,37349,36346,36948,36948,134448
2015-03-25,36998,37198,36096,36447,36447,153615
2015-03-26,36647,37700,36346,37299,37299,186486
2015-03-27,37850,37850,36747,36998,36998,111490
2015-03-30,37098,37800,36998,37600,37600,148225
2015-03-31,37900,38301,37600,38202,38202,159028
2015-04-01,37950,38051,36948,37399,37399,149690
2015-04-02,37800,37800,36497,37349,37349,144040
2015-04-03,37098,38201,36797,38101,38101,94951
2015-04-06,38001,38552,37349,38101,38101,161251
2015-04-07,39053,40708,38702,40157,40157,384582
2015-04-08,40658,43415,40257,43365,43365,653842
2015-04-09,42713,44618,42112,44268,44268,500511
2015-04-10,44267,44618,43716,43917,43917,183002
2015-04-13,44468,46273,44317,45972,45972,396343
2015-04-14,45621,46323,44418,46123,46123,301114
2015-04-15,46724,47376,45972,47326,47326,223576
2015-04-16,48428,49632,46724,47376,47376,304493
2015-04-17,47175,47325,45019,45471,45471,345818
2015-04-20,44117,45019,43916,44468,44468,308327
2015-04-21,45170,45922,44317,44619,44619,234267
2015-04-22,44368,45320,42763,44017,44017,208884
2015-04-23,44368,44468,43114,43616,43616,165373
2015-04-24,44067,45069,42763,44318,44318,256514
2015-04-27,44317,46273,44017,45822,45822,256668
2015-04-28,46573,49230,45972,48128,48128,443987
2015-04-29,48478,48478,44217,44418,44418,606211
2015-04-30,44117,45270,43365,44869,44869,221150
2015-05-04,45370,45821,44819,45571,45571,102696
2015-05-06,45119,46774,45119,46774,46774,209904
2015-05-07,46974,47275,44568,45722,45722,204187
2015-05-08,45972,46273,45220,45220,45220,106175
2015-05-11,45771,46323,45320,45772,45772,123995
2015-05-12,45320,45370,42362,42764,42764,460490
2015-05-13,42763,44167,42763,44017,44017,157955
2015-05-14,44117,44418,42312,42463,42463,221620
2015-05-15,42763,43064,41660,41661,41661,165083
2015-05-18,41309,42412,40357,40859,40859,189775
2015-05-19,40858,43164,40858,41962,41962,305462
2015-05-20,42112,42262,39956,40357,40357,251090
2015-05-21,40357,40357,39003,39455,39455,237121
2015-05-22,40056,42763,39856,42262,42262,345038
2015-05-26,42362,42362,40407,40608,40608,167983
2015-05-27,40056,40407,39555,40207,40207,114495
2015-05-28,40557,40557,39104,39154,39154,206724
2015-05-29,39154,40106,38853,39355,39355,121861
2015-06-01,39404,39805,38552,38753,38753,161544
2015-06-02,38753,39154,37499,37550,37550,181351
2015-06-03,37399,38502,37148,37349,37349,155292
2015-06-04,38051,38051,37098,37349,37349,93022
2015-06-05,37098,37449,36246,36447,36447,129256
2015-06-08,36346,37700,36146,37099,37099,58892
2015-06-09,37098,37750,36497,36597,36597,78772
2015-06-10,36848,37148,36196,36297,36297,82297
2015-06-11,36697,37098,35143,35845,35845,166771
2015-06-12,35845,35845,34241,34341,34341,241129
2015-06-15,33840,34942,33789,34391,34391,86244
2015-06-16,34090,34792,33037,33439,33439,153772
2015-06-17,33438,34341,32887,33940,33940,90567
2015-06-18,34040,34541,33539,33539,33539,77962
2015-06-19,33639,34241,33438,33439,33439,102319
2015-06-22,33589,35043,33589,34341,34341,105854
2015-06-23,35243,35644,34742,35093,35093,137010
2015-06-24,35093,35143,34391,34692,34692,84905
2015-06-25,34391,34592,33940,34241,34241,67408
2015-06-26,34441,34742,33940,34141,34141,73222
2015-06-29,33088,33438,32636,32637,32637,128508
2015-06-30,32235,33037,32135,32486,32486,150572
2015-07-01,32987,35293,32586,34843,34843,249877
2015-07-02,35043,35193,34040,34391,34391,117735
2015-07-03,34592,35293,34190,34442,34442,114178
2015-07-06,33489,33739,32586,32938,32938,130404
2015-07-07,33388,33438,32336,33339,33339,140710
2015-07-08,33338,33388,32285,32436,32436,131372
2015-07-09,32536,33689,32185,33690,33690,135709
2015-07-10,33890,34341,33288,33639,33639,117724
2015-07-13,33840,34090,33037,33740,33740,103301
2015-07-14,34090,34090,32235,32587,32587,186469
2015-07-15,32536,33088,31032,31383,31383,402687
2015-07-16,31383,32085,30932,31584,31584,233827
2015-07-17,31383,31433,29478,29930,29930,286178
2015-07-20,29478,29628,28876,28977,28977,154120
2015-07-21,28977,31082,28977,29679,29679,281754
2015-07-22,29628,30029,28225,28576,28576,250961
2015-07-23,28776,28876,27473,27724,27724,246484
2015-07-24,27473,27473,26470,26470,26470,190084
2015-07-27,26570,27874,25868,27473,27473,284693
2015-07-28,27122,28325,26520,27674,27674,244903
2015-07-29,27723,28275,27573,27874,27874,138072
2015-07-30,28325,28726,27623,27874,27874,205424
2015-07-31,27723,28325,26620,27172,27172,197509
2015-08-03,27122,27322,26319,26721,26721,135724
2015-08-04,26620,27322,26420,26821,26821,153897
2015-08-05,26971,27573,26520,26922,26922,186605
2015-08-06,27222,27222,26320,26871,26871,151219
2015-08-07,26821,27122,26570,26621,26621,90231
2015-08-10,26420,26570,25517,25518,25518,188398
2015-08-11,25868,26721,25367,25969,25969,186298
2015-08-12,25868,26921,25718,26019,26019,126040
2015-08-13,26771,26771,25718,26270,26270,128136
2015-08-17,26319,26470,25217,26019,26019,241611
2015-08-18,25918,26670,25818,26270,26270,143235
2015-08-19,26119,26269,25267,25769,25769,174144
2015-08-20,25367,25918,24289,24290,24290,252953
2015-08-21,23312,23813,22961,23086,23086,267923
2015-08-24,22735,23562,22284,22610,22610,169714
2015-08-25,22710,23888,22359,23613,23613,302159
2015-08-26,24013,25417,23688,24816,24816,179577
2015-08-27,25618,25718,24790,25367,25367,189391
2015-08-28,26019,26320,25618,25769,25769,202125
2015-08-31,26119,28074,25918,27022,27022,1332739
2015-09-01,27523,28425,27372,27674,27674,361374
2015-09-02,27473,29428,27122,29228,29228,385259
2015-09-03,29277,29428,28174,28225,28225,230735
2015-09-04,28726,28977,27924,28325,28325,138860
2015-09-07,28074,28676,27172,28275,28275,188342
