Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,33400,34800,33300,34250,34250,167685
2015-01-05,34300,35450,33600,35200,35200,274188
2015-01-06,34800,35200,34300,34550,34550,161368
2015-01-07,34800,34950,33650,33700,33700,202883
2015-01-08,33350,33450,31900,32600,32600,468082
2015-01-09,32650,33400,32450,32750,32750,250374
2015-01-12,32200,33400,32200,32850,32850,189498
2015-01-13,32650,32900,32100,32150,32150,276806
2015-01-14,32150,32450,31300,32000,32000,371145
2015-01-15,31800,32800,31650,32400,32400,222227
2015-01-16,32100,32750,31950,32500,32500,293229
2015-01-19,32700,33200,32650,33000,33000,243600
2015-01-20,33100,33200,32100,32200,32200,324377
2015-01-21,32300,34650,32200,34450,34450,506196
2015-01-22,34750,35450,34300,35050,35050,382654
2015-01-23,35550,36300,35100,35400,35400,391460
2015-01-26,35400,37500,35400,37200,37200,461533
2015-01-27,37750,37750,36700,37450,37450,303407
2015-01-28,37300,38200,36700,38100,38100,260987
2015-01-29,38000,38000,37300,37300,37300,211826
2015-01-30,37600,38700,37300,38050,38050,228339
2015-02-02,37700,38250,36750,37800,37800,189065
2015-02-03,37800,38300,37100,37300,37300,192377
2015-02-04,37500,39750,37400,39150,39150,384714
2015-02-05,39650,40100,38500,39300,39300,316235
2015-02-06,39500,39800,39000,39600,39600,183340
2015-02-09,39600,39650,38050,38350,38350,255355
2015-02-10,38550,38900,37050,38750,38750,257011
2015-02-11,38400,38900,37800,38350,38350,192262
2015-02-12,38400,38850,37700,38500,38500,137523
2015-02-13,38650,39050,38250,38850,38850,152041
2015-02-16,38900,38900,38100,38800,38800,160968
2015-02-17,39200,39200,37500,37500,37500,211154
2015-02-23,37500,38950,37500,38950,38950,150412
2015-02-24,39250,39300,38150,39100,39100,185219
2015-02-25,39000,39100,38300,38300,38300,107819
2015-02-26,38450,38450,36950,37050,37050,366562
2015-02-27,37150,37550,36500,37350,37350,172242
2015-03-02,37250,37450,36200,36350,36350,230904
2015-03-03,35950,36800,35900,36750,36750,186365
2015-03-04,36400,37400,36350,37000,37000,160761
2015-03-05,37150,39200,36750,39050,39050,329888
2015-03-06,39450,41800,39400,41400,41400,716018
2015-03-09,41550,42100,40900,41400,41400,412359
2015-03-10,42100,42100,40900,40900,40900,253956
2015-03-11,40800,40950,39500,40550,40550,273681
2015-03-12,40550,40550,39500,39500,39500,209151
2015-03-13,39800,41000,39400,40850,40850,204333
2015-03-16,40750,41700,40050,40750,40750,170377
2015-03-17,40850,41100,39850,40950,40950,161500
2015-03-18,41150,41750,40150,41550,41550,164656
2015-03-19,41650,41750,40850,41000,41000,144389
2015-03-20,40750,42100,40750,41900,41900,204851
2015-03-23,41900,42050,40800,41450,41450,92780
2015-03-24,41450,41850,41100,41600,41600,65744
2015-03-25,41750,43450,41500,43250,43250,211534
2015-03-26,42850,43200,41650,42150,42150,206813
2015-03-27,42350,42950,41750,42200,42200,116595
2015-03-30,42200,42800,41700,42000,42000,75046
2015-03-31,41800,42200,41200,41900,41900,166241
