Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,18609,18887,18290,18610,18610,73811
2015-01-05,18208,18328,17410,17571,17571,223016
2015-01-06,17368,17529,16851,16932,16932,233835
2015-01-07,16731,17289,16690,16932,16932,155863
2015-01-08,16851,16970,16412,16932,16932,188208
2015-01-09,17129,17449,16890,17052,17052,105827
2015-01-12,17011,17930,17011,17811,17811,193197
2015-01-13,17809,18089,17171,17292,17292,191943
2015-01-14,17251,17849,17251,17492,17492,92732
2015-01-15,17369,17968,17369,17891,17891,95873
2015-01-16,18048,18407,17170,17371,17371,326075
2015-01-19,17569,17930,17211,17452,17452,135808
2015-01-20,17851,17891,17412,17532,17532,111875
2015-01-21,17531,18289,17451,17811,17811,235060
2015-01-22,18089,18966,18009,18410,18410,441820
2015-01-23,18371,18729,17811,17932,17932,220796
2015-01-26,17931,18369,17890,18091,18091,169932
2015-01-27,18129,18249,17370,17452,17452,284410
2015-01-28,17410,17768,17250,17571,17571,139726
2015-01-29,17411,17530,16931,17452,17452,252771
2015-01-30,17571,17771,17212,17612,17612,207438
2015-02-02,17690,18049,17411,17811,17811,165795
2015-02-03,18089,18249,17251,17292,17292,246566
2015-02-04,17370,18049,17251,17971,17971,293107
2015-02-05,18249,18448,17890,18011,18011,285584
2015-02-06,18048,20683,17968,20686,20686,1660502
2015-02-09,21243,21603,20764,21445,21445,1128234
2015-02-10,21362,21523,20485,21086,21086,712812
2015-02-11,21363,23879,21324,22324,22324,2580816
2015-02-12,22162,23719,20725,20766,20766,1572141
2015-02-13,21243,21842,20804,21365,21365,562873
2015-02-16,21803,22961,21043,22963,22963,818121
2015-02-17,22523,25357,21804,24561,24561,1900460
2015-02-23,24598,25117,24080,24760,24760,593143
2015-02-24,24760,25000,23882,24202,24202,399923
2015-02-25,24440,26077,24041,24042,24042,1000201
2015-02-26,23800,24040,22722,23243,23243,517633
2015-02-27,23402,23802,23082,23563,23563,365309
2015-03-02,23400,23561,22443,22484,22484,441892
2015-03-03,22721,23279,22482,22883,22883,334438
2015-03-04,22920,23160,22163,22723,22723,253467
2015-03-05,22802,23600,22722,23363,23363,301359
2015-03-06,23641,23680,23042,23642,23642,263385
2015-03-09,23479,24399,22961,23083,23083,257216
2015-03-10,23082,24240,23042,23243,23243,402374
2015-03-11,22921,23121,21964,22085,22085,296340
2015-03-12,22205,22684,21805,22405,22405,182639
2015-03-13,22483,22761,22004,22484,22484,161264
2015-03-16,22681,25515,22600,24680,24680,1097703
2015-03-17,25438,26874,24759,25679,25679,1133939
2015-03-18,26037,26396,24919,25200,25200,467463
2015-03-19,25437,26754,24400,25998,25998,827526
2015-03-20,26116,27035,25599,25919,25919,515529
2015-03-23,25915,26475,24997,25039,25039,393623
2015-03-24,24759,26396,24719,25639,25639,524139
2015-03-25,25439,28753,25200,26359,26359,1323389
2015-03-26,26395,26794,24718,25120,25120,670526
2015-03-27,25118,26157,23921,24002,24002,828182
2015-03-30,23601,24958,23601,24082,24082,568019
2015-03-31,24597,26194,24319,25239,25239,1080636
2015-04-01,25159,28553,25079,28076,28076,2620806
2015-04-02,28431,32265,25756,26876,26876,4063456
2015-04-03,27473,28432,25757,26677,26677,1610663
2015-04-06,27034,27034,25398,26318,26318,849153
2015-04-07,26116,28632,25517,27356,27356,1997646
2015-04-08,27634,28514,25638,26079,26079,1388305
2015-04-09,26438,26957,25879,26239,26239,457809
2015-04-10,26279,27076,25879,26479,26479,587758
2015-04-13,26677,27716,26039,26159,26159,619199
2015-04-14,26395,26555,24000,24600,24600,895540
2015-04-15,24599,26237,24360,25080,25080,920898
2015-04-16,25716,25716,24400,24840,24840,402721
2015-04-17,24759,25557,24440,25400,25400,409429
2015-04-20,25318,26037,24999,25480,25480,443789
2015-04-21,26315,27712,25756,27196,27196,1404026
2015-04-22,27595,30748,25958,28435,28435,2114052
2015-04-23,28910,28951,26396,26677,26677,785239
2015-04-24,26516,27514,25797,26079,26079,451291
2015-04-27,26358,28273,26358,27876,27876,1006757
2015-04-28,28231,28471,26674,27196,27196,691721
2015-04-29,27194,27514,25918,26438,26438,345472
2015-04-30,26436,27074,25238,25400,25400,339810
2015-05-04,25236,25636,23400,23602,23602,548860
2015-05-06,23080,23759,22442,22963,22963,616550
2015-05-07,23040,23598,22561,23282,23282,275520
2015-05-08,23280,23361,22523,22564,22564,347694
2015-05-11,22961,24359,21804,22005,22005,878121
2015-05-12,22124,22365,21286,21606,21606,438378
2015-05-13,21565,21765,20088,20128,20128,769699
2015-05-14,20206,20844,19966,20487,20487,382373
