Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,44432,44911,44155,44433,44433,24087
2015-01-05,44430,44909,43535,44776,44776,44028
2015-01-06,44498,45324,44430,45258,45258,31177
2015-01-07,45256,45256,43742,44364,44364,45857
2015-01-08,44569,44774,44017,44433,44433,33695
2015-01-09,44430,44705,42228,42300,42300,129720
2015-01-12,42296,42571,40164,40236,40236,189358
2015-01-13,40510,41679,39959,41544,41544,82863
2015-01-14,41334,41678,40510,40856,40856,48961
2015-01-15,40854,40993,40303,40718,40718,40705
2015-01-16,40577,40646,39753,40099,40099,58393
2015-01-19,40095,40163,38307,38860,38860,97814
2015-01-20,38855,39474,38375,38516,38516,68822
2015-01-21,38515,39615,37277,39136,39136,102929
2015-01-22,39544,39544,38512,38516,38516,63631
2015-01-23,38651,38855,37412,37759,37759,64790
2015-01-26,37896,39410,37828,38174,38174,60737
2015-01-27,38307,39270,38169,38722,38722,61659
2015-01-28,38653,39203,38378,38931,38931,50928
2015-01-29,38857,39063,38170,38998,38998,52214
2015-01-30,39062,39062,37824,38516,38516,37167
2015-02-02,38719,38719,38170,38379,38379,22874
2015-02-03,38445,38513,37619,37967,37967,52747
2015-02-04,38100,38307,37550,37622,37622,81882
2015-02-05,37756,39064,37618,39067,39067,51038
2015-02-06,39337,39337,38444,39341,39341,40700
2015-02-09,38653,38721,37552,38449,38449,185123
2015-02-10,38169,38376,37756,37759,37759,49683
2015-02-11,37895,38445,37825,38379,38379,35299
2015-02-12,38997,39477,37965,38449,38449,67056
2015-02-13,38582,38857,37825,38860,38860,56018
2015-02-16,39064,39200,38513,38792,38792,40760
2015-02-17,38926,39269,38512,39204,39204,32346
2015-02-23,39821,40029,39133,39411,39411,43009
2015-02-24,39755,40648,39550,39550,39550,108184
2015-02-25,40099,40099,39341,39550,39550,78633
2015-02-26,39681,39956,39406,39685,39685,75798
2015-02-27,39822,40303,39683,40168,40168,57902
2015-03-02,40162,40162,39337,39341,39341,65103
2015-03-03,39269,39681,38856,39204,39204,75387
2015-03-04,39201,39683,38928,39136,39136,63596
2015-03-05,39202,39409,38996,39274,39274,55273
2015-03-06,39408,40302,39271,40099,40099,67017
2015-03-09,39890,40577,39338,39617,39617,66165
2015-03-10,39753,40646,39615,40512,40512,128506
2015-03-11,40509,41266,40234,41062,41062,128647
2015-03-12,40992,42917,40785,42507,42507,204598
2015-03-13,42779,44292,42161,43401,43401,221745
2015-03-16,43534,44497,43123,44088,44088,224529
2015-03-17,44156,44224,42643,43126,43126,147000
2015-03-18,43467,43810,42091,43469,43469,112832
2015-03-19,44085,47937,44015,46358,46358,396652
2015-03-20,46767,50755,45734,48971,48971,811946
2015-03-23,49450,49520,46562,47321,47321,305725
2015-03-24,47387,48694,46149,46702,46702,259450
2015-03-25,46700,48146,46426,48147,48147,146077
2015-03-26,47732,48145,47044,47941,47941,131134
2015-03-27,47939,48695,47113,48147,48147,111305
2015-03-30,48350,49522,48007,48285,48285,108942
2015-03-31,48350,48833,45943,46978,46978,169214
2015-04-01,46493,46837,45325,46428,46428,168340
2015-04-02,46768,51444,46424,50760,50760,465321
2015-04-03,51169,51307,49383,50760,50760,167810
2015-04-06,50827,52683,50207,51173,51173,180143
2015-04-07,50895,52545,50619,52411,52411,180244
2015-04-08,52546,54266,48832,49248,49248,629749
2015-04-09,49519,49932,48419,49316,49316,322029
2015-04-10,49723,49930,48280,48352,48352,240887
2015-04-13,48348,49105,47797,48971,48971,217821
2015-04-14,48969,49245,46355,47391,47391,280667
2015-04-15,46767,48761,46767,48352,48352,233751
2015-04-16,47800,50346,47800,50142,50142,277446
2015-04-17,50552,50758,49795,50142,50142,150019
2015-04-20,49864,52272,49382,51517,51517,241982
2015-04-21,52066,52547,48765,49868,49868,217409
2015-04-22,49727,51860,44981,49868,49868,272974
2015-04-23,50207,50207,47525,48904,48904,239389
2015-04-24,48075,48831,47181,47802,47802,189025
2015-04-27,47661,48830,47386,48490,48490,175501
2015-04-28,47868,48831,47663,48766,48766,143364
2015-04-29,48282,48832,47801,48422,48422,121519
2015-04-30,48419,49382,47800,49316,49316,153295
2015-05-04,49518,50137,48348,49453,49453,145899
2015-05-06,48830,50206,48485,49935,49935,95051
2015-05-07,49865,49933,47320,47941,47941,173129
2015-05-08,48075,48832,47938,48216,48216,58160
2015-05-11,48348,50482,48143,49453,49453,182563
2015-05-12,49522,54337,49522,52000,52000,664210
2015-05-13,51998,54543,51516,54407,54407,407860
2015-05-14,53646,54198,52134,53857,53857,352689
2015-05-15,53303,56056,52891,53444,53444,345032
2015-05-18,53991,53991,51032,53374,53374,350975
2015-05-19,53647,53785,51999,52963,52963,183532
2015-05-20,53234,60868,53025,60872,60872,937890
2015-05-21,61419,65134,59699,62111,62111,714251
2015-05-22,62728,63414,58187,59360,59360,357004
2015-05-26,59151,60044,57843,58397,58397,188963
2015-05-27,58256,60043,56467,56952,56952,204229
2015-05-28,57428,62930,57428,60872,60872,405239
2015-05-29,61556,62932,58875,58878,58878,228571
2015-06-01,61074,61143,57841,60528,60528,165956
2015-06-02,60801,63413,59495,59841,59841,375196
2015-06-03,59147,61761,56534,59083,59083,282681
2015-06-04,58804,61900,58324,61836,61836,239614
2015-06-05,61969,63963,61281,63280,63280,285770
2015-06-08,63136,63274,60454,61559,61559,189463
2015-06-09,62247,63621,60457,61355,61355,286180
2015-06-10,62244,63687,59493,60459,60459,228136
2015-06-11,60868,64513,60112,64312,64312,647150
2015-06-12,64719,66921,62931,63416,63416,491177
2015-06-15,63207,64307,61832,62867,62867,153311
2015-06-16,63071,63690,60663,62111,62111,152501
2015-06-17,62109,63277,61076,61974,61974,105157
2015-06-18,62451,66165,61556,65137,65137,417469
2015-06-19,65820,67402,63963,65756,65756,225908
2015-06-22,66026,66233,61762,63004,63004,258033
2015-06-23,62519,63620,61074,61491,61491,174131
2015-06-24,62038,63552,61556,63349,63349,182961
2015-06-25,64171,69467,63346,68301,68301,538089
2015-06-26,68432,73591,66233,66993,66993,554303
2015-06-29,65821,68091,62656,63486,63486,288172
2015-06-30,62590,63897,59152,62249,62249,265019
2015-07-01,62933,63690,61902,63212,63212,159712
2015-07-02,63620,65682,63551,64380,64380,208428
2015-07-03,64995,70155,63965,68645,68645,479709
2015-07-06,66851,76688,66851,70501,70501,607016
2015-07-07,73247,79093,57910,60046,60046,1095095
2015-07-08,60661,61487,55848,57432,57432,517106
2015-07-09,56535,63275,55571,61904,61904,463487
2015-07-10,61898,64993,60591,62316,62316,284414
2015-07-13,62311,64789,61417,64724,64724,150433
2015-07-14,65752,67540,64171,66375,66375,159614
2015-07-15,67403,70155,66371,68301,68301,214019
2015-07-16,67264,68432,65819,66993,66993,142845
2015-07-17,67061,67749,63965,65619,65619,118591
2015-07-20,65891,70155,65617,69471,69471,182677
2015-07-21,70156,71876,66304,67751,67751,152566
2015-07-22,66786,69124,66304,66582,66582,78957
2015-07-23,67060,68023,66027,66512,66512,72232
2015-07-24,66577,66714,64857,65549,65549,78757
2015-07-27,64515,64515,60044,61629,61629,220270
2015-07-28,59286,60869,56674,59222,59222,346218
2015-07-29,60388,60525,54335,56264,56264,279938
2015-07-30,56259,57084,51719,53993,53993,266914
2015-07-31,53716,57085,52752,56402,56402,165177
2015-08-03,53163,53920,50345,51242,51242,275535
2015-08-04,51239,53441,51239,53168,53168,159669
2015-08-05,52821,55708,51995,55025,55025,121836
2015-08-06,55021,56260,54197,54338,54338,110861
2015-08-07,52960,53441,51514,52068,52068,162024
2015-08-10,52616,54199,51998,53444,53444,137233
2015-08-11,53785,53785,52134,52275,52275,71128
2015-08-12,52273,52273,48695,50349,50349,162764
2015-08-13,51514,56741,50413,55713,55713,229416
2015-08-17,56877,56877,53507,54474,54474,103070
2015-08-18,54954,55091,51377,51931,51931,103868
2015-08-19,50552,51859,49108,51105,51105,110993
2015-08-20,50071,52203,50071,50830,50830,69683
2015-08-21,48282,49658,48145,49110,49110,126527
2015-08-24,48143,50138,44634,45464,45464,196050
2015-08-25,45806,50827,45599,49041,49041,209566
2015-08-26,48144,50895,47594,50554,50554,77602
2015-08-27,50755,51788,49518,49935,49935,76092
2015-08-28,50620,51170,50002,50692,50692,48233
2015-08-31,50688,50894,49520,49591,49591,49727
2015-09-01,49175,50277,48900,49041,49041,41246
2015-09-02,48283,49658,48145,49248,49248,48923
2015-09-03,49658,49865,48487,48904,48904,61095
2015-09-04,48487,49039,45392,46290,46290,111386
2015-09-07,46080,47044,43604,45395,45395,82109
2015-09-08,45873,46767,43604,44501,44501,125283
2015-09-09,45461,48146,45392,48147,48147,99488
2015-09-10,47661,48074,46423,48078,48078,57794
2015-09-11,47592,48074,47043,47527,47527,32680
2015-09-14,47181,47732,46906,47391,47391,35457
2015-09-15,47316,48692,46903,48352,48352,49752
2015-09-16,49040,50278,48283,50005,50005,75816
2015-09-17,50276,50757,49038,50554,50554,57433
2015-09-18,50896,53237,50071,53238,53238,151566
2015-09-21,52339,54404,51927,53787,53787,87202
2015-09-22,53578,53854,52684,52825,52825,52743
2015-09-23,52615,53440,51239,52343,52343,59797
2015-09-24,53302,53717,52409,52825,52825,42842
2015-09-25,52890,53646,51307,53374,53374,94513
2015-09-30,51999,53303,50896,52963,52963,79291
2015-10-01,53027,53855,52341,53100,53100,72323
2015-10-02,53508,54403,52683,52755,52755,51433
2015-10-05,53371,54128,52133,52343,52343,73501
2015-10-06,53097,53371,51721,51792,51792,53274
2015-10-07,51170,51307,48349,49041,49041,103943
2015-10-08,49176,50553,49176,50554,50554,48839
2015-10-12,50552,50757,48626,48835,48835,91807
2015-10-13,48761,48761,43603,43675,43675,631144
2015-10-14,43191,43879,42091,43401,43401,202531
2015-10-15,44292,45186,44017,45121,45121,183425
2015-10-16,45598,46286,45185,45945,45945,118650
2015-10-19,44016,44429,42572,44088,44088,250643
2015-10-20,43946,44841,43397,44019,44019,103608
2015-10-21,44015,44291,43328,43538,43538,88531
2015-10-22,43329,43329,41472,41957,41957,183468
2015-10-23,42365,45048,42365,44294,44294,197443
2015-10-26,45048,46492,44359,44913,44913,105174
2015-10-27,45391,45391,43260,43538,43538,119272
2015-10-28,43948,44635,43881,44226,44226,50954
2015-10-29,44224,44499,43673,43883,43883,72712
2015-10-30,43948,44568,43605,43883,43883,44014
2015-11-02,43328,44154,42504,43744,43744,53642
2015-11-03,43881,45461,43604,45121,45121,128690
2015-11-04,45186,47595,45186,46978,46978,135051
2015-11-05,46836,49656,46492,49453,49453,263148
2015-11-06,52339,57428,52063,55713,55713,558495
2015-11-09,56260,61692,55021,57570,57570,552919
2015-11-10,56674,57361,53026,54201,54201,317808
2015-11-11,54196,57084,54059,55369,55369,207305
2015-11-12,55022,57912,54680,56402,56402,140720
2015-11-13,55021,56397,53645,55094,55094,100225
2015-11-16,53715,59493,53096,56882,56882,214812
2015-11-17,58323,58460,56535,57432,57432,121344
2015-11-18,56947,59835,56603,58808,58808,189256
2015-11-19,60043,61076,58324,59222,59222,147113
2015-11-20,58738,59218,57499,58121,58121,113903
2015-11-23,58460,60525,58255,59909,59909,146600
2015-11-24,59974,61211,58804,58946,58946,112634
2015-11-25,59495,59495,57637,58878,58878,107592
2015-11-26,58873,59423,58392,58946,58946,73087
2015-11-27,59149,60181,59149,59979,59979,84633
2015-11-30,59769,59975,57567,57640,57640,87582
2015-12-01,58047,60867,57773,60459,60459,110126
2015-12-02,60042,60662,59561,59909,59909,57262
2015-12-03,54335,57154,52959,55713,55713,515386
2015-12-04,54884,57016,54884,55231,55231,112006
2015-12-07,55364,56740,55364,56469,56469,84993
2015-12-08,56672,56672,54609,55231,55231,84984
2015-12-09,55434,57016,55297,55575,55575,75225
2015-12-10,55436,56193,52891,54407,54407,103518
2015-12-11,53988,54677,51650,53029,53029,76287
2015-12-14,50965,52822,50965,51380,51380,63009
2015-12-15,52408,54058,51926,53993,53993,43271
2015-12-16,54682,55162,54267,54683,54683,45327
2015-12-17,55642,55642,53991,54545,54545,64420
2015-12-18,54539,57909,53852,57707,57707,117221
2015-12-21,58116,59561,58116,58946,58946,108777
2015-12-22,59560,59560,57978,58326,58326,63075
2015-12-23,59767,60042,58460,59565,59565,67942
2015-12-24,59423,59975,58460,59015,59015,58833
2015-12-28,58806,59494,57568,58190,58190,52578
2015-12-29,57842,61280,57842,61216,61216,111294
2015-12-30,61692,71185,60731,66100,66100,432151
2016-01-04,67059,70497,67059,67888,67888,248379
2016-01-05,68571,78408,67953,78412,78412,515563
2016-01-06,80129,101796,76345,101800,101800,1528632
2016-01-07,99732,107298,91823,101800,101800,1556605
2016-01-08,100766,127937,99047,106273,106273,2127465
2016-01-11,106268,111771,99389,102144,102144,619664
2016-01-12,104891,111426,101796,104208,104208,999007
2016-01-13,107988,110395,102140,104208,104208,546414
2016-01-14,101797,105236,100421,104895,104895,445116
2016-01-15,107298,107987,100763,101800,101800,336689
2016-01-18,99045,106268,98356,103519,103519,551011
