Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,16950,17700,16700,17700,17700,4320
2015-01-05,17950,17950,16600,17000,17000,9330
2015-01-06,16750,17100,16400,16900,16900,11370
2015-01-07,16700,16700,16099,16400,16400,10420
2015-01-08,16450,16950,16250,16550,16550,8790
2015-01-09,16550,18550,16400,17450,17450,16140
2015-01-12,17350,17600,16550,16900,16900,5300
2015-01-13,16650,17150,16500,16900,16900,4500
2015-01-14,16750,16750,16200,16300,16300,7610
2015-01-15,16350,16400,16100,16300,16300,5740
2015-01-16,16500,17100,15800,16300,16300,12510
2015-01-19,16400,17350,16400,16700,16700,8940
2015-01-20,16450,17100,16450,16800,16800,7140
2015-01-21,16600,17450,16600,16850,16850,3390
2015-01-22,16850,17100,16850,16900,16900,690
2015-01-23,16750,17200,16750,17100,17100,500
2015-01-26,17100,17350,17050,17350,17350,320
2015-01-27,17100,17200,16800,17150,17150,1550
2015-01-28,17000,17200,16550,17000,17000,5650
2015-01-29,16900,16900,16700,16800,16800,990
2015-01-30,16800,16800,16400,16800,16800,2090
2015-02-02,16800,16900,16550,16850,16850,1060
2015-02-03,16800,16850,16600,16600,16600,1310
2015-02-04,16700,16700,16400,16550,16550,1090
2015-02-05,16450,16700,16450,16650,16650,1880
2015-02-06,16650,17150,16450,17150,17150,4500
2015-02-09,16850,17100,16500,16900,16900,11100
2015-02-10,16750,17650,16600,17050,17050,11950
2015-02-11,16800,17250,16800,17200,17200,6090
2015-02-12,17100,17250,17000,17200,17200,10820
2015-02-13,17200,17250,17000,17100,17100,20540
2015-02-16,17100,17300,16850,17100,17100,7050
2015-02-17,16950,17300,16650,17300,17300,13470
2015-02-23,17200,18100,17200,17700,17700,10640
2015-02-24,17700,17900,17600,17900,17900,8270
2015-02-25,18000,18500,17500,18450,18450,6960
2015-02-26,18600,18650,18100,18250,18250,4590
2015-02-27,18150,18200,17700,18050,18050,3910
2015-03-02,17650,17750,17500,17500,17500,3930
2015-03-03,17500,17750,17250,17500,17500,5430
2015-03-04,17300,17700,17250,17700,17700,3170
2015-03-05,17500,17600,17300,17350,17350,5660
2015-03-06,17300,17400,17150,17350,17350,4000
2015-03-09,17350,17400,16900,17400,17400,5720
2015-03-10,17400,17600,17000,17450,17450,9010
2015-03-11,17150,17300,16750,17000,17000,7310
2015-03-12,17050,17050,16550,16600,16600,7190
2015-03-13,16900,17850,16500,17150,17150,14090
2015-03-16,17150,17800,17000,17350,17350,8520
2015-03-17,17500,18500,17500,18400,18400,10440
2015-03-18,17900,18250,17750,17950,17950,11460
2015-03-19,17800,18300,17800,18100,18100,13850
2015-03-20,18100,18750,17900,18600,18600,5310
2015-03-23,18550,18650,18050,18050,18050,3340
2015-03-24,18000,18750,17650,18200,18200,12140
2015-03-25,18950,18950,17750,18300,18300,33800
2015-03-26,18900,18950,17150,17700,17700,100440
2015-03-27,17500,18800,17500,18500,18500,23630
2015-03-30,18750,19000,18700,18900,18900,7020
2015-03-31,19000,19000,18050,18050,18050,11970
2015-04-01,18050,18300,17700,18300,18300,7610
2015-04-02,18300,18600,18050,18300,18300,13590
2015-04-03,18100,18600,17900,18500,18500,1950
2015-04-06,18500,18650,18300,18600,18600,1650
2015-04-07,19400,19950,18600,18700,18700,48160
2015-04-08,18550,18850,18100,18700,18700,10940
2015-04-09,18700,19200,18350,19000,19000,7190
2015-04-10,19300,19450,18700,18950,18950,16390
2015-04-13,18950,18950,18400,18750,18750,7130
2015-04-14,18800,18800,18400,18500,18500,5170
2015-04-15,18400,18800,18200,18700,18700,11800
2015-04-16,18500,19100,18250,19050,19050,11700
