Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,85337,86186,82978,83451,83451,15520
2015-01-05,83072,85526,82789,85056,85056,15996
2015-01-06,84584,84772,82601,83074,83074,9331
2015-01-07,82885,82979,80431,80431,80431,13447
2015-01-08,80240,81090,79485,79770,79770,12382
2015-01-09,80806,81184,78163,79864,79864,25884
2015-01-12,79201,80334,79201,79864,79864,13218
2015-01-13,80336,80900,79485,80336,80336,16001
2015-01-14,80806,80806,79297,79770,79770,9606
2015-01-15,79297,80524,78730,80242,80242,16679
2015-01-16,79674,80335,78541,78826,78826,14294
2015-01-19,79013,79296,77974,78259,78259,18219
2015-01-20,78730,79108,77125,78354,78354,31224
2015-01-21,78163,78163,76937,77599,77599,28225
2015-01-22,77407,78634,77407,78070,78070,17260
2015-01-23,78352,78730,77597,78542,78542,12617
2015-01-26,78729,79201,78163,78826,78826,12902
2015-01-27,79202,81185,78919,80242,80242,25205
2015-01-28,80335,84772,80241,82130,82130,31140
2015-01-29,81845,82130,80335,82130,82130,22103
2015-01-30,82128,83922,81373,83640,83640,17458
2015-02-02,83072,83733,82599,83451,83451,10015
2015-02-03,83543,83543,81373,82507,82507,11541
2015-02-04,81941,82695,80996,81941,81941,15103
2015-02-05,82034,82885,81185,82791,82791,12812
2015-02-06,82790,83356,82129,83168,83168,8465
2015-02-09,83073,86566,83073,85623,85623,30706
2015-02-10,86377,86754,84678,85717,85717,21497
2015-02-11,85716,87699,84961,87511,87511,21786
2015-02-12,87508,87886,86942,87605,87605,24578
2015-02-13,86471,88266,86471,88266,88266,31277
2015-02-16,88263,89396,87980,88454,88454,25873
2015-02-17,88641,89398,88076,89399,89399,17973
2015-02-23,90341,90623,88830,89493,89493,13822
2015-02-24,89493,90154,88360,90060,90060,12673
2015-02-25,90153,90153,88077,89777,89777,21390
2015-02-26,89775,90718,89114,89681,89681,16580
2015-02-27,88925,89870,88925,89021,89021,13709
2015-03-02,89680,90435,88830,89493,89493,13595
2015-03-03,88735,91851,88735,91192,91192,27897
2015-03-04,90907,92134,90058,91098,91098,17634
2015-03-05,90342,91759,90248,91571,91571,13642
2015-03-06,90908,92040,90719,91381,91381,9387
2015-03-09,90247,92135,90247,91665,91665,11916
2015-03-10,91662,92040,90719,91286,91286,19548
2015-03-11,90059,91474,90059,91004,91004,21136
2015-03-12,90531,93836,90437,90910,90910,25885
2015-03-13,91191,92418,90907,91098,91098,30202
2015-03-16,91097,92513,90530,91098,91098,36054
2015-03-17,91474,91947,90625,91571,91571,36286
2015-03-18,92041,92229,91474,91853,91853,27958
2015-03-19,92229,96289,91947,95346,95346,121983
2015-03-20,96760,103369,95816,99594,99594,221398
2015-03-23,101482,101953,96290,98651,98651,297074
2015-03-24,99594,103371,94402,96291,96291,138724
2015-03-25,97707,98651,94873,96291,96291,53618
2015-03-26,93929,95346,92796,93553,93553,59151
2015-03-27,95344,107145,95344,107146,107146,254542
2015-03-30,118001,122721,110448,111394,111394,428902
2015-03-31,109977,114226,106674,111867,111867,198599
2015-04-01,115169,120362,111393,113283,113283,154791
2015-04-02,114224,118473,112336,117058,117058,137467
2015-04-03,117530,118946,113753,115171,115171,70619
2015-04-06,115641,116112,112809,114226,114226,67796
2015-04-07,115641,116112,110921,111394,111394,63120
2015-04-08,113282,118004,111867,118004,118004,118618
2015-04-09,120361,124139,118002,119891,119891,139225
2015-04-10,118004,119891,116586,118004,118004,60682
2015-04-13,118001,121305,117058,119419,119419,49818
2015-04-14,118946,122250,113281,115171,115171,66119
2015-04-15,113280,126026,113280,120363,120363,103161
2015-04-16,125082,131218,121305,127443,127443,167580
2015-04-17,126970,130746,125081,129331,129331,96989
2015-04-20,127441,133107,126970,128859,128859,95875
2015-04-21,130747,131219,124611,125084,125084,48392
2015-04-22,124138,130745,118945,123195,123195,82489
2015-04-23,123193,124609,117058,118475,118475,86499
2015-04-24,118004,119891,115642,118004,118004,54628
2015-04-27,118475,121779,117531,120836,120836,33252
