Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,4943,5020,4909,4910,4910,168335
2015-01-05,4935,5181,4901,5139,5139,368426
2015-01-06,5113,5164,4977,4995,4995,311095
2015-01-07,4994,5071,4986,5020,5020,141642
2015-01-08,5037,5122,5037,5063,5063,222834
2015-01-09,5088,5198,5088,5148,5148,268298
2015-01-12,5105,5198,5096,5114,5114,154769
2015-01-13,5190,5190,5045,5088,5088,234167
2015-01-14,5139,5139,4943,4969,4969,284099
2015-01-15,4952,5037,4901,5029,5029,240730
2015-01-16,4986,4994,4867,4876,4876,439174
2015-01-19,4884,4969,4884,4927,4927,208320
2015-01-20,4935,4977,4875,4910,4910,260242
2015-01-21,4901,4960,4730,4756,4756,486896
2015-01-22,4790,4875,4781,4807,4807,376318
2015-01-23,4901,4926,4688,4697,4697,680236
2015-01-26,4713,4747,4620,4637,4637,308620
2015-01-27,4662,4705,4611,4654,4654,417466
2015-01-28,4637,4841,4637,4833,4833,487542
2015-01-29,4815,4858,4747,4824,4824,291820
2015-01-30,4884,4892,4756,4765,4765,435279
2015-02-02,4730,4892,4722,4833,4833,402680
2015-02-03,4918,4935,4858,4859,4859,324290
2015-02-04,4935,4986,4901,4961,4961,431313
2015-02-05,5011,5020,4901,4961,4961,374754
2015-02-06,4977,5045,4892,4995,4995,242281
2015-02-09,5045,5062,4943,4986,4986,319112
2015-02-10,4952,5062,4952,5037,5037,239849
2015-02-11,5020,5062,4935,4978,4978,280753
2015-02-12,4918,4952,4832,4850,4850,331926
2015-02-13,4858,4926,4832,4884,4884,186750
2015-02-16,4867,4943,4867,4927,4927,156618
2015-02-17,4918,4969,4892,4952,4952,157535
2015-02-23,4977,5003,4935,4944,4944,154063
2015-02-24,4935,4977,4909,4918,4918,245294
2015-02-25,4952,5224,4943,5224,5224,970751
2015-02-26,5198,5300,5156,5292,5292,656844
2015-02-27,5275,5471,5207,5378,5378,735366
2015-03-02,5326,5539,5266,5463,5463,1078009
2015-03-03,5564,5658,5462,5590,5590,1028340
2015-03-04,5547,5573,5386,5386,5386,718971
2015-03-05,5386,5539,5377,5497,5497,474415
2015-03-06,5564,5734,5522,5667,5667,826052
2015-03-09,5590,5666,5496,5505,5505,487569
2015-03-10,5539,5564,5309,5497,5497,533547
2015-03-11,5403,5445,5275,5326,5326,557614
2015-03-12,5317,5411,5249,5344,5344,538131
2015-03-13,5411,5437,5343,5361,5361,225882
2015-03-16,5335,5403,5283,5369,5369,385754
2015-03-17,5437,5437,5360,5395,5395,467721
2015-03-18,5309,5352,5181,5182,5182,1060993
2015-03-19,5139,5224,5020,5182,5182,946691
2015-03-20,5224,5275,5113,5199,5199,517544
2015-03-23,5173,5317,5164,5318,5318,449139
2015-03-24,5317,5479,5292,5309,5309,554823
2015-03-25,5309,5377,5275,5301,5301,404585
2015-03-26,5283,5377,5198,5352,5352,436346
2015-03-27,5403,5462,5300,5361,5361,436993
2015-03-30,5003,5096,4943,5012,5012,1512648
2015-03-31,5020,5207,4943,5114,5114,833655
2015-04-01,5105,5105,4986,5029,5029,335898
2015-04-02,5054,5054,4977,4986,4986,313796
2015-04-03,4986,5028,4960,5003,5003,554118
2015-04-06,5037,5062,4960,5020,5020,422802
2015-04-07,5071,5249,5045,5173,5173,822436
2015-04-08,5190,5428,5164,5369,5369,908307
2015-04-09,5369,5403,5283,5369,5369,559438
2015-04-10,5403,5505,5352,5446,5446,665192
2015-04-13,5496,5930,5428,5794,5794,1791040
2015-04-14,5862,5905,5683,5794,5794,834352
2015-04-15,5845,5854,5709,5811,5811,598887
2015-04-16,5913,6075,5802,5854,5854,762981
2015-04-17,5845,5862,5683,5701,5701,714003
2015-04-20,5624,5802,5607,5709,5709,647492
2015-04-21,5666,5734,5462,5531,5531,895564
2015-04-22,5488,5564,5309,5420,5420,727207
2015-04-23,5454,5632,5420,5599,5599,690498
2015-04-24,5530,5624,5428,5624,5624,838297
2015-04-27,5683,5717,5479,5488,5488,1135811
2015-04-28,5615,5871,5539,5803,5803,1376026
2015-04-29,5785,5871,5598,5616,5616,861621
2015-04-30,5598,5615,5420,5446,5446,513300
2015-05-04,5335,5352,5020,5258,5258,1081967
2015-05-06,5156,5190,5071,5148,5148,702589
2015-05-07,5147,5215,5011,5165,5165,422413
2015-05-08,5130,5258,5088,5207,5207,234097
2015-05-11,5249,5335,5130,5148,5148,370150
2015-05-12,5113,5173,5079,5105,5105,279068
2015-05-13,5079,5232,5054,5190,5190,284183
2015-05-14,5173,5224,5113,5131,5131,294458
2015-05-15,5096,5122,4884,4910,4910,815538
2015-05-18,4901,4960,4850,4910,4910,442937
2015-05-19,4909,4909,4764,4799,4799,482546
2015-05-20,4807,4875,4688,4722,4722,538320
2015-05-21,4713,4764,4611,4629,4629,535560
2015-05-22,4628,4747,4611,4697,4697,423324
2015-05-26,4713,4747,4611,4654,4654,340408
2015-05-27,4654,4654,4450,4476,4476,678416
2015-05-28,4484,4645,4484,4561,4561,563583
2015-05-29,4543,4679,4543,4646,4646,371780
2015-06-01,4679,4688,4586,4603,4603,325530
2015-06-02,4560,4620,4492,4501,4501,419726
2015-06-03,4492,4603,4484,4527,4527,176689
2015-06-04,4518,4543,4356,4365,4365,557291
2015-06-05,4271,4305,4152,4220,4220,519090
2015-06-08,4211,4288,4143,4280,4280,315091
2015-06-09,4254,4356,4254,4322,4322,223331
2015-06-10,4330,4399,4279,4314,4314,313692
2015-06-11,4322,4399,4313,4322,4322,472927
2015-06-12,4373,4492,4262,4297,4297,399616
